map
	ez_nostalgia
end

values
	0.00373210,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.00793200,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.01109270,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.01400730,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.01673450,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.01936040,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.02292030,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.02582100,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.02878220,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.03169440,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.03461950,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.03758660,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.04031610,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.04389811,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.04668041,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.04968261,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.05240291,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.05510091,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.05786101,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.06057891,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.06371021,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.06634311,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.06933351,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.07222811,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.07504891,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.07818461,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.08104401,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.08532871,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.08847082,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.09178352,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.09462762,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.09772242,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.10142530,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.10521240,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.10804530,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.11072560,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.11380340,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.12140230,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.12881740,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.13260190,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.13615810,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.13966560,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.14717160,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.14982730,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.15270080,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.15548020,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.15791050,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.16065730,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.16358110,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.16606740,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.16880110,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.17148810,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.17403690,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.17676410,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.17934030,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.18265370,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.18535290,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.18805080,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.19095320,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.19346670,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.19632390,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.19879340,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.20190580,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.20518030,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.20797510,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.21079730,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.21326380,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.21591650,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.21878220,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.22148280,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.22468700,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
	0.22715510,12.00000000,7.90000000,340.00000000,0.00000000,0.00000000,0,0,0,0,
