map
	ez_nostalgia
end

values
	0.00457370,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.00886950,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.01271730,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.01575770,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.01931420,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.02242440,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.02580650,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.02934320,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.03263430,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.03565400,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.03961200,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.04275850,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.04600710,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.04902370,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.05225110,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.05526740,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.05850170,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.06613331,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.07375421,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.08087420,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.08457170,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.09245531,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.09934471,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.10285250,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.10618170,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.10950440,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.11240360,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.11537690,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.11837100,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.12200520,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.12481410,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.12789200,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.13083850,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.13355750,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.13679430,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.14008150,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.14291940,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.14560140,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.14862950,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.15205730,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.15494350,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.15791870,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.16116230,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.16410600,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.16724650,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.17055860,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.17340300,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.17616450,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.17962860,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.18282910,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.18636340,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.18918060,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.19217060,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.19494430,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.19851610,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.20185940,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.20495120,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.20774040,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,0,0,0,0,
	0.21264710,200.00000000,0.90000000,0.00000000,0.52500000,0.22500000,1,0,0,0,
	0.21771140,200.00000000,0.90000000,0.00539733,0.52500000,0.22500000,1,0,0,0,
	0.22289170,200.00000000,0.90000000,0.00539733,0.52500000,0.22500000,1,0,0,0,
	0.22627230,200.00000000,0.90000000,0.00539733,0.60000000,0.22500000,1,0,0,0,
	0.23108980,200.00000000,0.90000000,0.00539733,0.60000000,0.22500000,1,0,0,0,
	0.23481980,200.00000000,0.90000000,0.00539733,0.67500000,0.22500000,1,0,0,0,
	0.23876770,200.00010000,0.90000000,0.01966367,0.67500000,0.22500000,1,0,0,0,
	0.24366820,200.00010000,0.90000000,0.01966367,0.74999990,0.22500000,1,0,0,0,
	0.24712220,200.00010000,0.90000000,0.01966367,0.82500000,0.22500000,1,0,0,0,
	0.25081630,200.00010000,0.90000000,0.01966367,0.82500000,0.22500000,1,0,0,0,
	0.25514190,200.00010000,0.90000000,0.01966367,0.90000000,0.15000000,1,0,0,0,
	0.25938450,200.00020000,0.90000000,0.04205886,0.97500000,0.15000000,1,0,0,0,
	0.26537700,200.00020000,0.90000000,0.04205886,1.05000000,0.15000000,1,0,0,0,
	0.26962440,200.00020000,0.90000000,0.04205886,1.20000000,0.07500000,1,0,0,0,
