map
	ez_nostalgia
end

values
	0.52918610,226.05570000,25.90000000,36.28826000,34.40001000,91.68022000,1,0,0,0,
	0.53507020,226.05570000,25.90000000,36.28826000,34.40001000,91.68022000,1,0,0,0,
	0.54180790,226.05570000,25.90000000,36.28826000,34.48000000,91.68022000,1,0,0,0,
	0.54903860,226.14440000,25.90000000,36.28616000,34.56001000,91.68022000,1,0,0,0,
	0.55661310,226.14440000,25.90000000,36.28616000,34.64001000,91.68023000,1,0,0,0,
	0.56176670,226.14440000,25.90000000,36.28616000,34.72001000,91.68022000,1,0,0,0,
	0.56911360,226.24100000,25.90000000,36.28374000,34.88001000,91.76022000,1,0,0,0,
	0.57818790,226.24100000,25.90000000,36.28374000,34.96001000,91.76022000,1,0,0,0,
	0.58410880,226.24100000,25.90000000,36.28374000,35.20002000,91.84023000,1,0,0,0,
	0.58957930,226.34660000,25.90000000,36.28094000,35.36002000,91.92023000,1,0,0,0,
	0.59817760,226.34660000,25.90000000,36.28094000,35.52001000,92.00023000,1,0,0,0,
	0.60375580,226.34660000,25.90000000,36.28094000,35.68002000,92.08023000,1,0,0,0,
	0.61247070,226.46010000,25.90000000,36.27773000,35.92001000,92.08023000,1,0,0,0,
	0.61996830,226.46010000,25.90000000,36.27773000,36.08002000,92.24023000,1,0,0,0,
	0.62751720,226.58000000,25.90000000,36.27414000,36.32001000,92.32024000,1,0,0,0,
	0.63691020,226.58000000,25.90000000,36.27414000,36.48001000,92.40025000,1,0,0,0,
	0.64376940,226.58000000,25.90000000,36.27414000,36.72002000,92.48024000,1,0,0,0,
	0.64922930,226.70940000,25.90000000,36.26993000,36.88002000,92.56024000,1,0,0,0,
	0.65743140,226.70940000,25.90000000,36.26993000,37.04002000,92.56024000,1,0,0,0,
	0.66555010,226.84430000,25.90000000,36.26535000,37.20002000,92.64024000,1,0,0,0,
	0.67146680,226.84430000,25.90000000,36.26535000,37.44002000,92.72025000,1,0,0,0,
	0.67688560,226.84430000,25.90000000,36.26535000,37.68002000,92.88026000,1,0,0,0,
	0.68425480,226.84430000,25.90000000,36.26535000,37.84002000,92.88025000,1,0,0,0,
	0.69257380,226.98990000,25.90000000,36.25994000,38.16002000,93.04025000,1,0,0,0,
	0.69865610,226.98990000,25.90000000,36.25994000,38.48002000,93.12025000,1,0,0,0,
	0.70730780,227.14120000,25.90000000,36.25404000,38.64002000,93.28027000,1,0,0,0,
	0.71416280,227.14120000,25.90000000,36.25404000,38.96002000,93.36025000,1,0,0,0,
	0.72168590,227.14120000,25.90000000,36.25404000,39.28001000,93.52026000,1,0,0,0,
	0.72696600,227.29510000,25.90000000,36.24765000,39.60002000,93.60027000,1,0,0,0,
	0.73644710,227.29510000,25.90000000,36.24765000,39.76002000,93.68027000,1,0,0,0,
	0.74311700,227.29510000,25.90000000,36.24765000,40.08001000,93.84027000,1,0,0,0,
	0.75212530,227.44900000,25.90000000,36.24088000,40.32002000,94.00027000,1,0,0,0,
	0.75942080,227.44900000,25.90000000,36.24088000,40.80001000,94.16027000,1,0,0,0,
	0.76795610,227.60290000,25.90000000,36.23377000,41.12003000,94.32029000,1,0,0,0,
	0.77597190,227.60290000,25.90000000,36.23377000,41.44002000,94.48029000,1,0,0,0,
	0.78198370,227.60290000,25.90000000,36.23377000,41.92002000,94.72028000,1,0,0,0,
	0.78749330,227.75680000,25.90000000,36.22612000,42.24002000,94.88029000,1,0,0,0,
	0.79565920,227.75680000,25.90000000,36.22612000,42.56002000,95.04029000,1,0,0,0,
	0.80374520,227.75680000,25.90000000,36.22612000,43.04001000,95.28030000,1,0,0,0,
	0.81020000,227.91070000,25.90000000,36.21783000,43.52002000,95.52029000,1,0,0,0,
	0.81925820,227.91070000,25.90000000,36.21783000,43.92002000,95.68030000,1,0,0,0,
	0.82945110,228.06460000,25.90000000,36.20905000,44.40002000,95.84030000,1,0,0,0,
	0.83855650,228.06460000,25.90000000,36.20905000,45.04002000,96.08029000,1,0,0,0,
	0.84855000,228.21850000,25.90000000,36.19959000,45.44002000,96.24030000,1,0,0,0,
	0.85540460,228.21850000,25.90000000,36.19959000,46.00002000,96.48029000,1,0,0,0,
	0.86635580,228.37240000,25.90000000,36.18952000,46.32003000,96.64030000,1,0,0,0,
	0.87357700,228.37240000,25.90000000,36.18952000,46.88002000,96.88029000,1,0,0,0,
	0.88096460,228.37240000,25.90000000,36.18952000,47.28003000,97.04030000,1,0,0,0,
	0.88620980,228.52620000,25.90000000,36.17846000,47.68003000,97.20030000,1,0,0,0,
	0.89275650,228.52620000,25.90000000,36.17846000,48.00003000,97.36031000,1,0,0,0,
	0.89924230,228.52620000,25.90000000,36.17846000,48.32003000,97.52031000,1,0,0,0,
	0.90903120,228.68000000,25.90000000,36.16665000,48.64003000,97.68031000,1,0,0,0,
	0.91853090,228.68000000,25.90000000,36.16665000,49.20002000,97.92031000,1,0,0,0,
	0.92411320,228.68000000,25.90000000,36.16665000,49.68002000,98.08031000,1,0,0,0,
	0.93011610,228.83370000,25.90000000,36.15378000,50.00003000,98.16031000,1,0,0,0,
	0.94168820,228.83370000,25.90000000,36.15378000,50.24003000,98.24031000,1,0,0,0,
	0.94779530,228.98740000,25.90000000,36.14014000,50.72003000,98.48032000,1,0,0,0,
	0.95437410,228.98740000,25.90000000,36.14014000,50.96003000,98.56031000,1,0,0,0,
	0.96151790,228.98740000,25.90000000,36.14014000,51.20004000,98.64031000,1,0,0,0,
	0.96895970,229.14100000,25.90000000,36.12568000,51.44003000,98.72032000,1,0,0,0,
	0.97526450,229.14100000,25.90000000,36.12568000,51.68003000,98.80033000,1,0,0,0,
	0.97999610,229.14100000,25.90000000,36.12568000,51.84003000,98.88033000,1,0,0,0,
	0.98865970,229.29450000,25.90000000,36.11045000,51.92004000,98.88033000,1,0,0,0,
	0.99603270,229.29450000,25.90000000,36.11045000,52.08004000,98.96033000,1,0,0,0,
	1.00182500,229.29450000,25.90000000,36.11045000,52.16005000,99.04033000,1,0,0,0,
	1.00703800,229.44780000,25.90000000,36.09437000,52.24004000,99.04033000,1,0,0,0,
	1.01668800,229.44780000,25.90000000,36.09437000,52.32004000,99.04033000,1,0,0,0,
	1.02402400,229.44780000,25.90000000,36.09437000,52.48003000,99.04033000,1,0,0,0,
	1.03044200,229.60110000,25.90000000,36.07750000,52.56004000,99.04033000,1,0,0,0,
	1.03582900,229.60110000,25.90000000,36.07750000,52.64004000,99.04034000,1,0,0,0,
	1.04166600,229.60110000,25.90000000,36.07750000,52.80005000,99.04033000,1,0,0,0,
	1.05048400,229.75440000,25.89360000,36.06062000,52.88005000,99.04033000,1,0,0,0,
	1.05654800,229.75440000,25.89360000,36.06062000,53.04005000,99.04033000,1,0,0,0,
	1.06265100,229.75440000,25.89360000,36.06062000,53.20004000,98.96033000,1,0,0,0,
	1.06986100,229.90760000,25.88080000,36.04375000,53.36005000,98.88033000,1,0,0,0,
