map
	ez_nostalgia
end

values
	0.38334160,12.63692000,7.90000000,343.25190000,13.49998000,13.04999000,1,0,0,0,
	0.38779460,12.66886000,7.90000000,343.40260000,13.72498000,13.04999000,1,0,0,0,
	0.39388630,12.66886000,7.90000000,343.40260000,13.87498000,13.04999000,1,0,0,0,
	0.39919660,12.66886000,7.90000000,343.40260000,14.09998000,13.04999000,1,0,0,0,
	0.40385800,12.66886000,7.90000000,343.40260000,14.24998000,13.04999000,1,0,0,0,
	0.41033330,12.70106000,7.90000000,343.55320000,14.39997000,13.04999000,1,0,0,0,
	0.41575310,12.70106000,7.90000000,343.55320000,14.62498000,13.04999000,1,0,0,0,
	0.42130380,12.70106000,7.90000000,343.55320000,14.84998000,13.04999000,1,0,0,0,
	0.42677760,12.70106000,7.90000000,343.55320000,15.07498000,13.04999000,1,0,0,0,
	0.43125270,12.73352000,7.90000000,343.70370000,15.22498000,13.04999000,1,0,0,0,
	0.43626240,12.73352000,7.90000000,343.70370000,15.37498000,13.04999000,1,0,0,0,
	0.44272790,12.73352000,7.90000000,343.70370000,15.59998000,13.04999000,1,0,0,0,
	0.44923940,12.76614000,7.90000000,343.85420000,15.82498000,13.04999000,1,0,0,0,
	0.45592200,12.76614000,7.90000000,343.85420000,16.12498000,13.04999000,1,0,0,0,
	0.46207360,12.76614000,7.90000000,343.85420000,16.42498000,12.97499000,1,0,0,0,
	0.46707360,12.79893000,7.90000000,344.00470000,16.64998000,12.97499000,1,0,0,0,
	0.47284750,12.79893000,7.90000000,344.00470000,16.87498000,12.97499000,1,0,0,0,
	0.48002030,12.79893000,7.90000000,344.00470000,17.09998000,12.97499000,1,0,0,0,
	0.48555540,12.79893000,7.90000000,344.00470000,17.47498000,12.89999000,1,0,0,0,
	0.49073000,12.83190000,7.90000000,344.15520000,17.69998000,12.89999000,1,0,0,0,
	0.49638430,12.83190000,7.90000000,344.15520000,17.92498000,12.89999000,1,0,0,0,
	0.50316110,12.83190000,7.90000000,344.15520000,18.22498000,12.89999000,1,0,0,0,
	0.50784680,12.86497000,7.90000000,344.30560000,18.59998000,12.89999000,1,0,0,0,
	0.51281790,12.86497000,7.90000000,344.30560000,18.82498000,12.89999000,1,0,0,0,
	0.52082880,12.86497000,7.90000000,344.30560000,19.12498000,12.89999000,1,0,0,0,
	0.53474000,12.89815000,7.90000000,344.45600000,19.49998000,12.89999000,1,0,0,0,
	0.54216750,12.89815000,7.90000000,344.45600000,20.24998000,12.89999000,1,0,0,0,
	0.54973960,12.93144000,7.90000000,344.60640000,20.69998000,12.89999000,1,0,0,0,
	0.55528270,12.93144000,7.90000000,344.60640000,21.07498000,12.89999000,1,0,0,0,
	0.56000390,12.93144000,7.90000000,344.60640000,21.44998000,12.89999000,1,0,0,0,
	0.56775580,12.96482000,7.90000000,344.75670000,21.67498000,12.89999000,1,0,0,0,
	0.57374690,12.96482000,7.90000000,344.75670000,22.04998000,12.89999000,1,0,0,0,
	0.57968540,12.96482000,7.90000000,344.75670000,22.42498000,12.89999000,1,0,0,0,
	0.58559300,12.96482000,7.90000000,344.75670000,22.79998000,12.89999000,1,0,0,0,
	0.58980600,12.99831000,7.90000000,344.90700000,23.09998000,12.89999000,1,0,0,0,
	0.59975980,12.99831000,7.90000000,344.90700000,23.32498000,12.97499000,1,0,0,0,
	0.60412810,12.99831000,7.90000000,344.90700000,23.84998000,12.97499000,1,0,0,0,
	0.61000170,13.03189000,7.90000000,345.05730000,24.07498000,12.97499000,1,0,0,0,
	0.61716470,13.03189000,7.90000000,345.05730000,24.44998000,12.97499000,1,0,0,0,
	0.62292310,13.03189000,7.90000000,345.05730000,24.82498000,12.97499000,1,0,0,0,
	0.62965690,13.06555000,7.90000000,345.20760000,25.12498000,12.97499000,1,0,0,0,
