map
	ez_square2
end

values
	0.00542990,-4.86138600,1.90000000,-5.04872700,4.08000600,354.63990000,1,0,0,0,
	0.01009490,-4.86414100,1.90000000,-5.01994200,4.24000500,354.63990000,1,0,0,0,
	0.01541740,-4.86414100,1.90000000,-5.01994200,4.32000600,354.63990000,1,0,0,0,
	0.02008840,-4.86414100,1.90000000,-5.01994200,4.40000500,354.63990000,1,0,0,0,
	0.02321900,-4.86414100,1.90000000,-5.01994200,4.48000600,354.63990000,1,0,0,0,
	0.02768210,-4.86754100,1.90000000,-4.98407100,4.48000600,354.63990000,1,0,0,0,
	0.03377780,-4.86754100,1.90000000,-4.98407100,4.56000500,354.63990000,1,0,0,0,
	0.03829320,-4.86754100,1.90000000,-4.98407100,4.64000600,354.63990000,1,0,0,0,
	0.04268300,-4.86754100,1.90000000,-4.98407100,4.72000500,354.63990000,1,0,0,0,
	0.04891270,-4.87165900,1.90000000,-4.94044700,4.80000500,354.63990000,1,0,0,0,
	0.05421220,-4.87165900,1.90000000,-4.94044700,4.96000500,354.63990000,1,0,0,0,
	0.05874660,-4.87165900,1.90000000,-4.94044700,5.04000500,354.63990000,1,0,0,0,
	0.06330230,-4.87165900,1.90000000,-4.94044700,5.12000500,354.63990000,1,0,0,0,
	0.06848960,-4.87654000,1.90000000,-4.88861100,5.20000500,354.63990000,1,0,0,0,
	0.07353061,-4.87654000,1.90000000,-4.88861100,5.28000500,354.63990000,1,0,0,0,
	0.07858101,-4.87654000,1.90000000,-4.88861100,5.36000500,354.63990000,1,0,0,0,
	0.08594701,-4.87654000,1.90000000,-4.88861100,5.44000400,354.71980000,1,0,0,0,
	0.09042141,-4.88224400,1.90000000,-4.82775400,5.60000500,354.71990000,1,0,0,0,
	0.09719371,-4.88224400,1.90000000,-4.82775400,5.68000400,354.71990000,1,0,0,0,
	0.10219160,-4.88224400,1.90000000,-4.82775400,5.84000400,354.79990000,1,0,0,0,
	0.10663090,-4.88224400,1.90000000,-4.82775400,5.92000500,354.79990000,1,0,0,0,
	0.11455680,-4.88867000,1.90000000,-4.75865600,6.00000400,354.79990000,1,0,0,0,
	0.12220180,-4.88867000,1.90000000,-4.75865600,6.24000400,354.87990000,1,0,0,0,
	0.12791060,-4.89561700,1.90000000,-4.68335100,6.40000300,354.87990000,1,0,0,0,
	0.13317250,-4.89561700,1.90000000,-4.68335100,6.56000400,354.87990000,1,0,0,0,
	0.13825920,-4.89561700,1.90000000,-4.68335100,6.72000300,354.87990000,1,0,0,0,
	0.14410250,-4.89561700,1.90000000,-4.68335100,6.88000400,354.95980000,1,0,0,0,
	0.14885440,-4.90329500,1.90000000,-4.59931600,7.04000300,354.95980000,1,0,0,0,
	0.15470790,-4.90329500,1.90000000,-4.59931600,7.20000400,354.95980000,1,0,0,0,
	0.15944120,-4.90329500,1.90000000,-4.59931600,7.36000300,354.95980000,1,0,0,0,
	0.16386270,-4.90329500,1.90000000,-4.59931600,7.52000300,354.95980000,1,0,0,0,
	0.16900530,-4.91162700,1.90000000,-4.50740300,7.68000300,354.95980000,1,0,0,0,
	0.17497110,-4.91162700,1.90000000,-4.50740300,7.84000300,354.95980000,1,0,0,0,
	0.18041640,-4.91162700,1.90000000,-4.50740300,8.08000300,354.95980000,1,0,0,0,
	0.18811090,-4.92051400,1.90000000,-4.40889300,8.24000400,354.95980000,1,0,0,0,
	0.19577290,-4.92051400,1.90000000,-4.40889300,8.56000100,354.95980000,1,0,0,0,
	0.20114620,-4.92051400,1.90000000,-4.40889300,8.88000100,354.95980000,1,0,0,0,
	0.20705900,-4.93010300,1.90000000,-4.30212000,9.12000300,354.95980000,1,0,0,0,
	0.21301030,-4.93010300,1.90000000,-4.30212000,9.36000100,354.95980000,1,0,0,0,
	0.21787880,-4.93010300,1.90000000,-4.30212000,9.60000100,354.95980000,1,0,0,0,
	0.23198790,-4.94026200,1.90000000,-4.18867900,9.84000200,354.95980000,1,0,0,0,
	0.23767870,-4.94026200,1.90000000,-4.18867900,10.48000000,354.95980000,1,0,0,0,
	0.24389480,-4.94026200,1.90000000,-4.18867900,10.72000000,354.95980000,1,0,0,0,
	0.24960650,-4.95132300,1.90000000,-4.06487000,10.96000000,354.87990000,1,0,0,0,
	0.25663660,-4.95132300,1.90000000,-4.06487000,11.28000000,354.87990000,1,0,0,0,
	0.26167110,-4.95132300,1.90000000,-4.06487000,11.60000000,354.79990000,1,0,0,0,
	0.26778000,-4.96303900,1.90000000,-3.93398100,11.76000000,354.79990000,1,0,0,0,
	0.27530030,-4.96303900,1.90000000,-3.93398100,12.08000000,354.71990000,1,0,0,0,
	0.28195230,-4.96303900,1.90000000,-3.93398100,12.40000000,354.63990000,1,0,0,0,
	0.28804390,-4.97556200,1.90000000,-3.79501900,12.72000000,354.63990000,1,0,0,0,
	0.29568800,-4.97556200,1.90000000,-3.79501900,12.96000000,354.55990000,1,0,0,0,
	0.30051980,-4.97556200,1.90000000,-3.79501900,13.36000000,354.47990000,1,0,0,0,
	0.30596300,-4.97556200,1.90000000,-3.79501900,13.60000000,354.47990000,1,0,0,0,
	0.31368300,-4.98910900,1.90000000,-3.64650800,13.84000000,354.39990000,1,0,0,0,
	0.32054830,-4.98910900,1.90000000,-3.64650800,14.24000000,354.31990000,1,0,0,0,
	0.32616550,-4.98910900,1.90000000,-3.64650800,14.55999000,354.24000000,1,0,0,0,
	0.33080650,-5.00326900,1.90000000,-3.49315200,14.80000000,354.16000000,1,0,0,0,
	0.33627840,-5.00326900,1.90000000,-3.49315200,15.04000000,354.08000000,1,0,0,0,
	0.34181030,-5.00326900,1.90000000,-3.49315200,15.36000000,354.00000000,1,0,0,0,
	0.34867000,-5.01756500,1.90000000,-3.33980400,15.68000000,353.92000000,1,0,0,0,
	0.35546680,-5.01756500,1.90000000,-3.33980400,16.00000000,353.76000000,1,0,0,0,
	0.36132960,-5.01756500,1.90000000,-3.33980400,16.40000000,353.68000000,1,0,0,0,
	0.36700080,-5.03209700,1.90000000,-3.18646400,16.64000000,353.52000000,1,0,0,0,
	0.37176200,-5.03209700,1.90000000,-3.18646400,16.96000000,353.44000000,1,0,0,0,
	0.37813990,-5.03209700,1.90000000,-3.18646400,17.20000000,353.36000000,1,0,0,0,
	0.38471680,-5.03209700,1.90000000,-3.18646400,17.43999000,353.20000000,1,0,0,0,
	0.38986170,-5.04699900,1.90000000,-3.03314000,17.84000000,353.04000000,1,0,0,0,
	0.39840740,-5.04699900,1.90000000,-3.03314000,18.08000000,352.96010000,1,0,0,0,
	0.40315230,-5.04699900,1.90000000,-3.03314000,18.40000000,352.80000000,1,0,0,0,
