map
	ez_square2
end

values
	0.40513840,3.49172200,1.90000000,-2.79447900,20.87999000,18.31999000,1,0,0,0,
	0.41076350,3.49172200,1.90000000,-2.79447900,20.95999000,18.31999000,1,0,0,0,
	0.41697400,3.54044200,1.90000000,-2.64838700,21.19999000,18.23999000,1,0,0,0,
	0.42435630,3.54044200,1.90000000,-2.64838700,21.27999000,18.15999000,1,0,0,0,
	0.42973660,3.54044200,1.90000000,-2.64838700,21.51999000,18.07999000,1,0,0,0,
	0.43462760,3.54044200,1.90000000,-2.64838700,21.67999000,18.07999000,1,0,0,0,
	0.44053580,3.58906700,1.90000000,-2.50226200,21.83999000,17.99999000,1,0,0,0,
	0.44628260,3.58906700,1.90000000,-2.50226200,21.99999000,17.91999000,1,0,0,0,
	0.45203760,3.58906700,1.90000000,-2.50226200,22.15999000,17.83999000,1,0,0,0,
	0.45791070,3.63758300,1.90000000,-2.35609400,22.31999000,17.75999000,1,0,0,0,
	0.46513970,3.63758300,1.90000000,-2.35609400,22.47999000,17.67999000,1,0,0,0,
	0.47104600,3.63758300,1.90000000,-2.35609400,22.71999000,17.51999000,1,0,0,0,
	0.47547530,3.68592500,1.90000000,-2.20986100,22.87999000,17.43999000,1,0,0,0,
	0.48062330,3.68592500,1.90000000,-2.20986100,22.95999000,17.35999000,1,0,0,0,
	0.48620390,3.68592500,1.90000000,-2.20986100,23.11999000,17.27999000,1,0,0,0,
	0.49319380,3.68592500,1.90000000,-2.20986100,23.19999000,17.19999000,1,0,0,0,
	0.49905450,3.73400000,1.90000000,-2.06352400,23.35999000,17.03999000,1,0,0,0,
	0.50396690,3.73400000,1.90000000,-2.06352400,23.51999000,16.95999000,1,0,0,0,
	0.50871670,3.73400000,1.90000000,-2.06352400,23.59998000,16.87999000,1,0,0,0,
	0.51648350,3.78185200,1.90000000,-1.91711100,23.67999000,16.87999000,1,0,0,0,
	0.52501520,3.78185200,1.90000000,-1.91711100,23.83999000,16.71999000,1,0,0,0,
	0.52914160,3.78185200,1.90000000,-1.91711100,23.99998000,16.55999000,1,0,0,0,
	0.53472920,3.78185200,1.90000000,-1.91711100,24.07999000,16.47999000,1,0,0,0,
	0.54009530,3.82926200,1.90000000,-1.77053300,24.23999000,16.39999000,1,0,0,0,
	0.54499920,3.82926200,1.90000000,-1.77053300,24.31998000,16.31999000,1,0,0,0,
	0.54980330,3.82926200,1.90000000,-1.77053300,24.39998000,16.23999000,1,0,0,0,
	0.55666040,3.87638800,1.90000000,-1.62385400,24.47998000,16.15999000,1,0,0,0,
	0.56372060,3.87638800,1.90000000,-1.62385400,24.63998000,16.07999000,1,0,0,0,
	0.56993840,3.87638800,1.90000000,-1.62385400,24.71999000,15.91999000,1,0,0,0,
	0.57547790,3.92308900,1.90000000,-1.47701800,24.87999000,15.75999000,1,0,0,0,
	0.58131530,3.92308900,1.90000000,-1.47701800,24.95999000,15.67999000,1,0,0,0,
	0.58829630,3.92308900,1.90000000,-1.47701800,25.03999000,15.59999000,1,0,0,0,
	0.59284630,3.92308900,1.90000000,-1.47701800,25.11998000,15.43999000,1,0,0,0,
	0.59909410,3.96924900,1.90000000,-1.32999300,25.19998000,15.35999000,1,0,0,0,
	0.60461460,3.96924900,1.90000000,-1.32999300,25.27999000,15.28000000,1,0,0,0,
	0.61054650,3.96924900,1.90000000,-1.32999300,25.27998000,15.19999000,1,0,0,0,
	0.61677560,4.01496200,1.90000000,-1.18282300,25.35998000,15.11999000,1,0,0,0,
	0.62175290,4.01496200,1.90000000,-1.18282300,25.43999000,15.03999000,1,0,0,0,
	0.62719780,4.01496200,1.90000000,-1.18282300,25.51999000,14.95999000,1,0,0,0,
	0.63305070,4.01496200,1.90000000,-1.18282300,25.59998000,14.87999000,1,0,0,0,
	0.63853990,4.06008700,1.90000000,-1.03546100,25.59998000,14.80000000,1,0,0,0,
	0.64648380,4.06008700,1.90000000,-1.03546100,25.67999000,14.71999000,1,0,0,0,
	0.65198270,4.06008700,1.90000000,-1.03546100,25.75998000,14.63999000,1,0,0,0,
	0.65682780,4.10469900,1.90000000,-0.88793830,25.75998000,14.55999000,1,0,0,0,
	0.66207190,4.10469900,1.90000000,-0.88793830,25.83999000,14.55999000,1,0,0,0,
	0.66706180,4.10469900,1.90000000,-0.88793830,25.83999000,14.47999000,1,0,0,0,
	0.67265430,4.10469900,1.90000000,-0.88793830,25.91998000,14.39999000,1,0,0,0,
	0.67601050,4.14875300,1.90000000,-0.74024550,25.99999000,14.31999000,1,0,0,0,
	0.68288240,4.14875300,1.90000000,-0.74024550,25.99999000,14.31999000,1,0,0,0,
	0.68829460,4.14875300,1.90000000,-0.74024550,26.07998000,14.15999000,1,0,0,0,
	0.69367810,4.14875300,1.90000000,-0.74024550,26.15998000,14.15999000,1,0,0,0,
	0.69742100,4.19222500,1.90000000,-0.59237900,26.15998000,14.07999000,1,0,0,0,
	0.70290180,4.19222500,1.90000000,-0.59237900,26.23998000,14.00000000,1,0,0,0,
	0.70915990,4.19222500,1.90000000,-0.59237900,26.31999000,13.91999000,1,0,0,0,
	0.71433350,4.19222500,1.90000000,-0.59237900,26.31998000,13.83999000,1,0,0,0,
	0.72014230,4.23511100,1.90000000,-0.44433080,26.39998000,13.75999000,1,0,0,0,
	0.72709110,4.23511100,1.90000000,-0.44433080,26.55999000,13.68000000,1,0,0,0,
	0.73401560,4.23511100,1.90000000,-0.44433080,26.63999000,13.51999000,1,0,0,0,
	0.73915760,4.27782900,2.01060000,-0.29623220,26.71998000,13.36000000,1,0,0,0,
	0.74995080,4.27782900,2.01060000,-0.29623220,26.87999000,13.20000000,1,0,0,0,
	0.76163920,4.32054600,2.11480000,-0.14813360,27.03998000,12.96000000,1,0,0,0,
	0.76928730,4.32054600,2.11480000,-0.14813360,27.19999000,12.71999000,1,0,1,0,
	0.77628230,4.36326400,2.21260000,-0.00003496,27.27998000,12.64000000,1,0,1,0,
	0.77974670,4.36326400,2.21260000,-0.00003496,27.27998000,12.56000000,1,0,1,0,
	0.78365060,4.36326400,2.21260000,-0.00003496,27.27998000,12.56000000,1,0,1,0,
	0.78650960,4.36326400,2.21260000,-0.00003496,27.27998000,12.56000000,1,0,1,0,
	0.79056660,4.36326400,2.21260000,-0.00003496,27.27998000,12.56000000,1,0,1,0,
	0.79326290,4.36326400,2.21260000,-0.00003496,27.27998000,12.56000000,1,0,1,0,
	0.79839700,4.40598100,2.30400000,0.14806360,27.27998000,12.56000000,0,0,1,0,
	0.80505040,4.40598100,2.30400000,0.14806360,27.27998000,12.56000000,0,0,1,0,
	0.80995040,4.40598100,2.30400000,0.14806360,27.27998000,12.56000000,0,0,1,0,
	0.81496880,4.40598100,2.30400000,0.14806360,27.27998000,12.64000000,0,0,1,0,
	0.82119620,4.45393900,2.38900000,0.29499070,27.27998000,12.87999000,0,0,1,0,
	0.82818100,4.45393900,2.38900000,0.29499070,27.27998000,13.27999000,0,0,1,0,
	0.83367370,4.45393900,2.38900000,0.29499070,27.27998000,13.92000000,0,0,1,0,
	0.84267590,4.50669800,2.46760000,0.44070950,27.27998000,14.72000000,0,0,1,0,
	0.85349960,4.50669800,2.46760000,0.44070950,27.27998000,16.08000000,0,0,1,0,
	0.86094310,4.56811800,2.53980000,0.58373520,27.19998000,18.08000000,0,0,1,0,
	0.86767510,4.56811800,2.53980000,0.58373520,27.11998000,19.28000000,0,0,1,0,
	0.87547960,4.63646000,2.60560000,0.72422340,26.95998000,20.80000000,0,0,1,0,
	0.88389260,4.63646000,2.60560000,0.72422340,26.79998000,22.56000000,0,0,1,0,
	0.88991570,4.63646000,2.60560000,0.72422340,26.63998000,24.32000000,0,0,1,0,
	0.89633880,4.71674500,2.66500000,0.85939000,26.47998000,25.60000000,0,0,1,0,
	0.90448450,4.71674500,2.66500000,0.85939000,26.31999000,27.20000000,0,0,1,0,
	0.91202660,4.71674500,2.66500000,0.85939000,26.15998000,28.96000000,0,0,1,0,
	0.91885200,4.80893200,2.71800000,0.98798330,25.99998000,30.56000000,0,0,1,0,
	0.92613980,4.80893200,2.71800000,0.98798330,25.83999000,31.84000000,0,0,1,0,
	0.93216980,4.80893200,2.71800000,0.98798330,25.67998000,33.12000000,0,0,1,0,
	0.94387610,4.90890300,2.76460000,1.11155600,25.59998000,33.91999000,0,0,1,1,
	0.95492860,4.90890300,2.76460000,1.11155600,25.43998000,35.20000000,0,0,1,1,
	0.96238540,5.00887400,2.80480000,1.23512800,25.35998000,36.00000000,0,0,0,1,
	0.96975640,5.00887400,2.80480000,1.23512800,25.27998000,36.31999000,0,0,0,1,
	0.97456570,5.00887400,2.80480000,1.23512800,25.27998000,36.48000000,0,0,0,1,
	0.97983870,5.09200400,2.83860000,1.37110100,25.27999000,36.56000000,0,0,0,1,
	0.98465940,5.09200400,2.83860000,1.37110100,25.19999000,36.56000000,0,0,0,1,
	0.98772300,5.09200400,2.83860000,1.37110100,25.19999000,36.56000000,0,0,0,1,
	0.99181900,5.09200400,2.83860000,1.37110100,25.19999000,36.56000000,0,0,0,1,
	0.99467690,5.09200400,2.83860000,1.37110100,25.19999000,36.56000000,0,0,0,1,
	0.99887030,5.17513400,2.86600000,1.50707400,25.19999000,36.56000000,0,0,0,1,
	1.00250400,5.17513400,2.86600000,1.50707400,25.19999000,36.56000000,0,0,0,1,
	1.00645600,5.17513400,2.86600000,1.50707400,25.19999000,36.56000000,0,0,0,1,
	1.01056900,5.17513400,2.86600000,1.50707400,25.19999000,36.56000000,0,0,0,1,
	1.01632800,5.25826400,2.88700000,1.64304800,25.19999000,36.48000000,0,0,0,1,
	1.02300600,5.25826400,2.88700000,1.64304800,25.27999000,36.39999000,0,0,0,1,
	1.02877500,5.25826400,2.88700000,1.64304800,25.35998000,36.23999000,0,0,0,1,
	1.03512100,5.25826400,2.88700000,1.64304800,25.35999000,35.99999000,0,0,0,1,
	1.04035700,5.33977900,2.90160000,1.78019500,25.43998000,35.75999000,0,0,0,1,
	1.04563700,5.33977900,2.90160000,1.78019500,25.51999000,35.51999000,0,0,0,1,
	1.05149700,5.33977900,2.90160000,1.78019500,25.51998000,35.19999000,0,0,0,1,
	1.06023600,5.41893100,2.90980000,1.91900000,25.59998000,34.71999000,0,0,0,1,
	1.06905700,5.41893100,2.90980000,1.91900000,25.67998000,34.07999000,0,0,0,1,
	1.07437100,5.41893100,2.90980000,1.91900000,25.75998000,33.27999000,0,0,0,1,
	1.08352900,5.49381400,2.91160000,2.06062700,25.75999000,32.87999000,0,0,0,1,
	1.09042900,5.49381400,2.91160000,2.06062700,25.83999000,31.75999000,0,0,0,1,
	1.09866600,5.56412600,2.90700000,2.20504700,25.91998000,30.95999000,0,0,0,1,
	1.10641300,5.56412600,2.90700000,2.20504700,25.99998000,29.91999000,0,0,0,1,
	1.11477900,5.56412600,2.90700000,2.20504700,26.07998000,28.87999000,0,0,0,1,
	1.12082200,5.62679400,2.89600000,2.35368400,26.15998000,27.83998000,0,0,0,1,
	1.12809500,5.62679400,2.89600000,2.35368400,26.15998000,27.03999000,0,0,0,1,
	1.13444900,5.62679400,2.89600000,2.35368400,26.23999000,26.07998000,0,0,0,1,
	1.14151400,5.68197500,2.87860000,2.50594800,26.31998000,24.87999000,0,0,0,1,
	1.14897300,5.68197500,2.87860000,2.50594800,26.39998000,23.83999000,0,0,0,1,
	1.15485800,5.68197500,2.87860000,2.50594800,26.39999000,22.63998000,0,0,0,1,
	1.16156100,5.72840500,2.85480000,2.66186200,26.47999000,21.51998000,0,0,0,1,
	1.17015300,5.72840500,2.85480000,2.66186200,26.55998000,20.31998000,0,0,0,1,
	1.18093000,5.76735100,2.82460000,2.82041200,26.63998000,18.71998000,0,0,0,1,
	1.18985100,5.76735100,2.82460000,2.82041200,26.79998000,16.55998000,0,0,0,1,
	1.19658100,5.79556200,2.78800000,2.98199300,26.95998000,14.79998000,0,0,0,1,
	1.20636600,5.79556200,2.78800000,2.98199300,27.11999000,13.51998000,0,0,0,1,
	1.21172100,5.79556200,2.78800000,2.98199300,27.19998000,11.59998000,0,0,0,1,
	1.22305200,5.81168400,2.74500000,3.14611700,27.35998000,10.47998000,0,0,0,1,
	1.22952300,5.81168400,2.74500000,3.14611700,27.51998000,7.99998100,0,0,0,1,
	1.23790900,5.81640400,2.69560000,3.31172600,27.59998000,6.47998200,0,0,0,1,
	1.24368000,5.81640400,2.69560000,3.31172600,27.67998000,4.63998200,0,0,0,1,
	1.25047000,5.81640400,2.69560000,3.31172600,27.75998000,3.35998200,0,0,0,1,
	1.25852300,5.80704600,2.63980000,3.47812300,27.91998000,1.59998200,0,0,0,1,
	1.26708000,5.80704600,2.63980000,3.47812300,27.99998000,359.84000000,0,0,0,1,
	1.27374000,5.80704600,2.63980000,3.47812300,28.07998000,358.24000000,0,0,0,1,
	1.28264700,5.78304600,2.57760000,3.64407000,28.15998000,356.56000000,0,0,0,1,
	1.29083200,5.78304600,2.57760000,3.64407000,28.23998000,354.56000000,0,0,0,1,
	1.30406700,5.74858500,2.68820000,3.80888900,28.23998000,352.96000000,0,0,1,1,
	1.31603000,5.71412500,2.79240000,3.97370800,28.31998000,350.56000000,0,0,1,0,
	1.32883600,5.71412500,2.79240000,3.97370800,28.31998000,348.64000000,0,0,1,0,
	1.33592200,5.69468500,2.89020000,4.14154500,28.39998000,347.28000000,0,0,1,0,
	1.34274400,5.69468500,2.89020000,4.14154500,28.39998000,346.80000000,0,0,1,0,
	1.34742000,5.69468500,2.89020000,4.14154500,28.39998000,346.64000000,0,0,1,0,
	1.34994600,5.69468500,2.89020000,4.14154500,28.39998000,346.64000000,0,0,1,0,
	1.35374500,5.69468500,2.89020000,4.14154500,28.39998000,346.64000000,0,0,1,0,
	1.35666400,5.67524400,2.98160000,4.30938200,28.39998000,346.64000000,0,0,1,0,
	1.36151900,5.67524400,2.98160000,4.30938200,28.39998000,346.64000000,0,0,1,0,
	1.36618700,5.67524400,2.98160000,4.30938200,28.39998000,346.64000000,0,0,1,0,
	1.37046700,5.67524400,2.98160000,4.30938200,28.39998000,346.72000000,0,0,1,0,
	1.37861600,5.65580400,3.06660000,4.47721900,28.39998000,346.88000000,0,0,1,0,
	1.38605400,5.65580400,3.06660000,4.47721900,28.31998000,347.28000000,0,0,1,0,
	1.39605300,5.63636400,3.14520000,4.64505500,28.23998000,347.76000000,0,0,1,0,
	1.40273200,5.63636400,3.14520000,4.64505500,28.15998000,348.80000000,0,0,1,0,
	1.41076500,5.63636400,3.14520000,4.64505500,28.07998000,349.52000000,0,0,1,0,
	1.42004800,5.62248800,3.21740000,4.81387100,27.91999000,350.56000000,0,0,1,0,
	1.43066500,5.62248800,3.21740000,4.81387100,27.83998000,351.84000000,0,0,1,0,
	1.43779400,5.61727900,3.28320000,4.98378200,27.75998000,353.52000000,0,0,1,0,
	1.44407400,5.61727900,3.28320000,4.98378200,27.67998000,354.48000000,0,0,1,0,
	1.45791500,5.61773200,3.34260000,5.15419300,27.59998000,355.44000000,0,0,1,1,
	1.46792500,5.61773200,3.34260000,5.15419300,27.51998000,357.36000000,0,0,1,1,
	1.47468700,5.61773200,3.34260000,5.15419300,27.51998000,358.72000000,0,0,1,1,
