map
	ez_square2
end

values
	0.00632570,-6.32982700,1.90000000,-4.64084600,14.07999000,329.60010000,1,0,0,0,
	0.01245180,-6.32982700,1.90000000,-4.64084600,14.23999000,329.68010000,1,0,0,0,
	0.01771130,-6.32982700,1.90000000,-4.64084600,14.39999000,329.68010000,1,0,0,0,
	0.02318540,-6.32982700,1.90000000,-4.64084600,14.39999000,329.68010000,1,0,0,0,
	0.02818670,-6.34339100,1.90000000,-4.61767200,14.47999000,329.68010000,1,0,0,0,
	0.03354400,-6.34339100,1.90000000,-4.61767200,14.55999000,329.68010000,1,0,0,0,
	0.03906140,-6.34339100,1.90000000,-4.61767200,14.55999000,329.68010000,1,0,0,0,
	0.04376640,-6.34339100,1.90000000,-4.61767200,14.71999000,329.68010000,1,0,0,0,
	0.04909260,-6.36110700,1.90000000,-4.58738900,14.71999000,329.68010000,1,0,0,0,
	0.05523560,-6.36110700,1.90000000,-4.58738900,14.79999000,329.68010000,1,0,0,0,
	0.06107200,-6.36110700,1.90000000,-4.58738900,14.87999000,329.68010000,1,0,0,0,
	0.07244740,-6.38231600,1.90000000,-4.55113100,14.95999000,329.68010000,1,0,0,0,
	0.08299030,-6.38231600,1.90000000,-4.55113100,15.03999000,329.68010000,1,0,0,0,
	0.08609641,-6.40796400,1.90000000,-4.50731200,15.19999000,329.60010000,1,0,0,0,
	0.09038720,-6.40796400,1.90000000,-4.50731200,15.19999000,329.60010000,1,0,0,0,
	0.09452140,-6.40796400,1.90000000,-4.50731200,15.27999000,329.60010000,1,0,0,0,
	0.09797900,-6.40796400,1.90000000,-4.50731200,15.35999000,329.52010000,1,0,0,0,
	0.10180790,-6.40796400,1.90000000,-4.50731200,15.35999000,329.52010000,1,0,0,0,
	0.10587790,-6.43745100,1.90000000,-4.45701800,15.43999000,329.44010000,1,0,0,0,
	0.11001660,-6.43745100,1.90000000,-4.45701800,15.51999000,329.44010000,1,0,0,0,
	0.11341880,-6.43745100,1.90000000,-4.45701800,15.51999000,329.44010000,1,0,0,0,
	0.11841480,-6.43745100,1.90000000,-4.45701800,15.59999000,329.36010000,1,0,0,0,
	0.12154380,-6.43745100,1.90000000,-4.45701800,15.75999000,329.28020000,1,0,0,0,
	0.12529020,-6.43745100,1.90000000,-4.45701800,15.75999000,329.28020000,1,0,0,0,
	0.12908610,-6.47178900,1.90000000,-4.39868100,15.83999000,329.20020000,1,0,0,0,
	0.13348250,-6.47178900,1.90000000,-4.39868100,15.91999000,329.20020000,1,0,0,0,
	0.13748320,-6.47178900,1.90000000,-4.39868100,15.99999000,329.12020000,1,0,0,0,
	0.14150570,-6.47178900,1.90000000,-4.39868100,16.07999000,329.04020000,1,0,0,0,
	0.14551920,-6.50952300,1.90000000,-4.33481700,16.15999000,329.04020000,1,0,0,0,
	0.14951120,-6.50952300,1.90000000,-4.33481700,16.31999000,328.96020000,1,0,0,0,
	0.15459360,-6.50952300,1.90000000,-4.33481700,16.39999000,328.88020000,1,0,0,0,
	0.15891680,-6.50952300,1.90000000,-4.33481700,16.55999000,328.72020000,1,0,0,0,
	0.16476840,-6.50952300,1.90000000,-4.33481700,16.63999000,328.64020000,1,0,0,0,
	0.16894850,-6.55224600,1.90000000,-4.26309400,16.79999000,328.48020000,1,0,0,0,
	0.17396250,-6.55224600,1.90000000,-4.26309400,16.95999000,328.40020000,1,0,0,0,
	0.17944010,-6.55224600,1.90000000,-4.26309400,17.11999000,328.24020000,1,0,0,0,
	0.18387480,-6.55224600,1.90000000,-4.26309400,17.27999000,328.08020000,1,0,0,0,
	0.18987780,-6.59919600,1.90000000,-4.18499900,17.43999000,327.92020000,1,0,0,0,
	0.19464250,-6.59919600,1.90000000,-4.18499900,17.59999000,327.76020000,1,0,0,0,
	0.19904020,-6.59919600,1.90000000,-4.18499900,17.75999000,327.68020000,1,0,0,0,
	0.20522100,-6.59919600,1.90000000,-4.18499900,17.91999000,327.60030000,1,0,0,0,
	0.20976050,-6.65099800,1.90000000,-4.09986500,18.15999000,327.44020000,1,0,0,0,
	0.21447540,-6.65099800,1.90000000,-4.09986500,18.31999000,327.36030000,1,0,0,0,
	0.21917490,-6.65099800,1.90000000,-4.09986500,18.47999000,327.28030000,1,0,0,0,
	0.22378400,-6.65099800,1.90000000,-4.09986500,18.63999000,327.20030000,1,0,0,0,
	0.22842790,-6.70707600,1.90000000,-4.00864900,18.79999000,327.12030000,1,0,0,0,
	0.23476660,-6.70707600,1.90000000,-4.00864900,18.95998000,327.04030000,1,0,0,0,
	0.23944290,-6.70707600,1.90000000,-4.00864900,19.19999000,326.96030000,1,0,0,0,
	0.24419240,-6.70707600,1.90000000,-4.00864900,19.35999000,326.96030000,1,0,0,0,
	0.25002180,-6.76789000,1.90000000,-3.91077100,19.51999000,326.88030000,1,0,0,0,
	0.25475880,-6.76789000,1.90000000,-3.91077100,19.67999000,326.88030000,1,0,0,0,
	0.25866780,-6.76789000,1.90000000,-3.91077100,19.83999000,326.80040000,1,0,0,0,
	0.26315010,-6.76789000,1.90000000,-3.91077100,19.99998000,326.80040000,1,0,0,0,
	0.26861770,-6.83309500,1.90000000,-3.80669900,20.15998000,326.80040000,1,0,0,0,
	0.27324560,-6.83309500,1.90000000,-3.80669900,20.31999000,326.72040000,1,0,0,0,
	0.27994200,-6.83309500,1.90000000,-3.80669900,20.47999000,326.72040000,1,0,0,0,
	0.28475350,-6.83309500,1.90000000,-3.80669900,20.71998000,326.72040000,1,0,0,0,
	0.28867810,-6.90329300,1.90000000,-3.69556500,20.87999000,326.72040000,1,0,0,0,
	0.29360690,-6.90329300,1.90000000,-3.69556500,21.03999000,326.72040000,1,0,0,0,
	0.29836920,-6.90329300,1.90000000,-3.69556500,21.19998000,326.64040000,1,0,0,0,
	0.30342400,-6.90329300,1.90000000,-3.69556500,21.35999000,326.64040000,1,0,0,0,
	0.30823030,-6.97778800,1.90000000,-3.57831600,21.51999000,326.64040000,1,0,0,0,
	0.31359500,-6.97778800,1.90000000,-3.57831600,21.67999000,326.64040000,1,0,0,0,
	0.32052550,-6.97778800,1.90000000,-3.57831600,21.83998000,326.64040000,1,0,0,0,
	0.32495680,-6.97778800,1.90000000,-3.57831600,22.15998000,326.56040000,1,0,0,0,
	0.33048180,-7.05722700,1.90000000,-3.45400700,22.23998000,326.56040000,1,0,0,0,
	0.33554520,-7.05722700,1.90000000,-3.45400700,22.47998000,326.56040000,1,0,0,0,
	0.34051970,-7.05722700,1.90000000,-3.45400700,22.63998000,326.56040000,1,0,0,0,
	0.34675960,-7.14022800,1.90000000,-3.32458900,22.79999000,326.56040000,1,0,0,0,
