map
	ez_athletic
end

values
	0.41230760,-17.23738000,-3.66880100,46.16999000,34.35031000,343.87730000,0,0,0,1,
	0.41717420,-17.23738000,-3.66880100,46.16999000,34.42531000,343.57720000,0,0,0,1,
	0.42312410,-17.30320000,-3.69260100,46.33324000,34.50031000,343.35230000,0,0,0,1,
	0.42973640,-17.30320000,-3.69260100,46.33324000,34.50031000,342.90230000,0,0,0,1,
	0.43441000,-17.30320000,-3.69260100,46.33324000,34.57531000,342.45230000,0,0,0,1,
	0.43971580,-17.30320000,-3.69260100,46.33324000,34.57531000,342.07730000,0,0,0,1,
	0.44533710,-17.37208000,-3.72280100,46.49548000,34.57531000,341.55220000,0,0,0,1,
	0.45125340,-17.37208000,-3.72280100,46.49548000,34.65031000,340.87720000,0,0,0,1,
	0.45628460,-17.37208000,-3.72280100,46.49548000,34.65031000,340.27730000,0,0,0,1,
	0.46156440,-17.37208000,-3.72280100,46.49548000,34.72531000,339.67730000,0,0,0,1,
	0.46742330,-17.44853000,-3.75940100,46.65495000,34.72532000,338.92730000,0,0,0,1,
	0.47969970,-17.44853000,-3.75940100,46.65495000,34.80031000,338.17730000,0,0,0,1,
	0.48569040,-17.53263000,-3.80240100,46.81114000,34.87532000,336.22730000,0,0,0,1,
	0.49332360,-17.53263000,-3.80240100,46.81114000,34.87532000,335.17730000,0,0,0,1,
	0.50012990,-17.53263000,-3.80240100,46.81114000,34.87532000,333.90230000,0,0,0,1,
	0.50649980,-17.62652000,-3.85180100,46.96253000,34.95032000,332.70230000,0,0,0,1,
	0.51402180,-17.62652000,-3.85180100,46.96253000,34.95032000,331.65230000,0,0,0,1,
	0.52146410,-17.62652000,-3.85180100,46.96253000,34.95032000,330.00230000,0,0,0,1,
	0.52789050,-17.73110000,-3.90760100,47.10775000,34.95032000,328.72720000,0,0,0,1,
	0.53717080,-17.73110000,-3.90760100,47.10775000,34.95032000,327.30220000,0,0,0,1,
	0.54246980,-17.73110000,-3.90760100,47.10775000,34.95031000,325.27720000,0,0,0,1,
	0.54752970,-17.84747000,-3.96980100,47.24491000,34.95032000,324.15220000,0,0,0,1,
	0.55428870,-17.84747000,-3.96980100,47.24491000,34.95032000,323.10220000,0,0,0,1,
	0.55873290,-17.84747000,-3.96980100,47.24491000,34.95032000,321.52720000,0,0,0,1,
	0.56327260,-17.97252000,-4.03840100,47.37523000,34.95032000,320.62720000,0,0,0,1,
	0.57007950,-17.97252000,-4.03840100,47.37523000,34.87532000,319.42720000,0,0,0,1,
	0.57510960,-17.97252000,-4.03840100,47.37523000,34.80032000,317.85220000,0,0,0,1,
