map
	ez_horizon
end

values
	0.41205680,0.00502563,0.90000000,2.63491000,21.90000000,355.42500000,1,0,0,0,
	0.41728160,0.00012663,0.89999990,2.78902000,22.05000000,355.35000000,1,0,0,0,
	0.42831870,0.00012663,0.89999990,2.78902000,22.27500000,355.20000000,1,0,0,0,
	0.43448310,0.00012663,0.89999990,2.78902000,22.72500000,355.05000000,1,0,0,0,
	0.43910200,-0.00560691,0.90000000,2.94312100,23.02500000,354.90000000,1,0,0,0,
	0.44512670,-0.00560691,0.90000000,2.94312100,23.17500000,354.90000000,1,0,0,0,
	0.45106170,-0.00560691,0.90000000,2.94312100,23.47500000,354.75000000,1,0,0,0,
	0.45776790,-0.01195410,0.89999990,3.09719700,23.70000000,354.67500000,1,0,0,0,
	0.46386040,-0.01195410,0.89999990,3.09719700,24.00000000,354.52500000,1,0,0,0,
	0.46899090,-0.01195410,0.89999990,3.09719700,24.22500000,354.45000000,1,0,0,0,
	0.47366630,-0.01195410,0.89999990,3.09719700,24.45000000,354.37500000,1,0,0,0,
	0.47914380,-0.01915757,0.90000000,3.25124300,24.67500000,354.30000000,1,0,0,0,
	0.48588540,-0.01915757,0.90000000,3.25124300,24.90000000,354.15000000,1,0,0,0,
	0.49172160,-0.01915757,0.90000000,3.25124300,25.20000000,354.07500000,1,0,0,0,
	0.49733740,-0.02706559,0.89999990,3.40527100,25.50000000,353.92500000,1,0,0,0,
	0.50484730,-0.02706559,0.89999990,3.40527100,25.72500000,353.85000000,1,0,0,0,
	0.51126090,-0.02706559,0.89999990,3.40527100,26.02500000,353.70000000,1,0,0,0,
	0.51728620,-0.03574866,0.90000000,3.55925900,26.32500000,353.62500000,1,0,0,0,
	0.52310650,-0.03574866,0.90000000,3.55925900,26.55000000,353.47500000,1,0,0,0,
	0.52828560,-0.03574866,0.90000000,3.55925900,26.77500000,353.40000000,1,0,0,0,
	0.53577990,-0.04512119,0.89999990,3.71322500,26.92500000,353.25000000,1,0,0,0,
	0.54142190,-0.04512119,0.89999990,3.71322500,27.15000000,353.10000000,1,0,0,0,
	0.54727460,-0.04512119,0.89999990,3.71322500,27.37500000,353.02500000,1,0,0,0,
	0.55354430,-0.04512119,0.89999990,3.71322500,27.52500000,352.95000000,1,0,0,0,
	0.56022830,-0.05554214,0.90000000,3.86713200,27.75001000,352.80000000,1,0,0,0,
	0.56775840,-0.05554214,0.90000000,3.86713200,27.97500000,352.65000000,1,0,0,0,
	0.57342840,-0.05554214,0.90000000,3.86713200,28.12500000,352.57500000,1,0,0,0,
	0.57833430,-0.06680509,0.89999990,4.02099000,28.27500000,352.42500000,1,0,0,0,
	0.58330040,-0.06680509,0.89999990,4.02099000,28.42500000,352.35000000,1,0,0,0,
	0.58915690,-0.06680509,0.89999990,4.02099000,28.50000000,352.27500000,1,0,0,0,
	0.59701850,-0.07873143,0.90000000,4.17479500,28.72500000,352.20000000,1,0,0,0,
	0.60299270,-0.07873143,0.90000000,4.17479500,28.87500000,352.05000000,1,0,0,0,
	0.60844760,-0.07873143,0.90000000,4.17479500,29.02500000,351.90000000,1,0,0,0,
