map
	ez_square2
end

values
	0.00655930,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.01263370,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.01672110,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.02210640,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.02836010,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.03512270,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.04044890,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.04501680,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.04985730,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.05583730,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.06165290,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.06648620,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.07166770,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.07691140,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.08200780,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.08637960,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.09558320,2.35172000,1.90000000,-4.52601700,10.96001000,16.32000000,0,0,0,0,
	0.10340340,2.35172000,1.90000000,-4.52601700,11.04001000,16.32000000,1,0,0,0,
	0.11294690,2.35413700,1.90000000,-4.51776200,11.12001000,16.32000000,1,0,0,0,
	0.11915620,2.35413700,1.90000000,-4.51776200,11.20001000,16.32000000,1,0,0,0,
	0.12677960,2.35832500,1.90000000,-4.50345900,11.20001000,16.32000000,1,0,0,0,
	0.13998260,2.35832500,1.90000000,-4.50345900,11.36001000,16.32001000,1,0,0,0,
	0.14735200,2.36485400,1.90000000,-4.48116100,11.52001000,16.32000000,1,0,0,0,
	0.15526930,2.36485400,1.90000000,-4.48116100,11.68001000,16.40000000,1,0,0,0,
	0.16200180,2.36485400,1.90000000,-4.48116100,11.84001000,16.40000000,1,0,0,0,
	0.16963840,2.37388500,1.90000000,-4.45041800,12.00001000,16.40000000,1,0,0,0,
	0.17662030,2.37388500,1.90000000,-4.45041800,12.16001000,16.48000000,1,0,0,0,
	0.18348680,2.37388500,1.90000000,-4.45041800,12.40001000,16.48000000,1,0,0,0,
	0.19010930,2.38538600,1.90000000,-4.41144400,12.64001000,16.56000000,1,0,0,0,
	0.19797200,2.38538600,1.90000000,-4.41144400,12.88001000,16.56000000,1,0,0,0,
	0.20756730,2.39857900,1.90000000,-4.36692900,13.20001000,16.72001000,1,0,0,0,
	0.21543110,2.39857900,1.90000000,-4.36692900,13.68001000,16.80000000,1,0,0,0,
	0.22230910,2.39857900,1.90000000,-4.36692900,14.00001000,16.88000000,1,0,0,0,
	0.23078180,2.41469700,1.90000000,-4.31312700,14.32001000,17.04000000,1,0,0,0,
	0.24087170,2.41469700,1.90000000,-4.31312700,14.88001000,17.20000000,1,0,0,0,
	0.24912040,2.43314300,1.90000000,-4.25227300,15.44001000,17.36000000,1,0,0,0,
	0.25584540,2.43314300,1.90000000,-4.25227300,16.00001000,17.52000000,1,0,0,0,
	0.26036760,2.43314300,1.90000000,-4.25227300,16.40001000,17.76000000,1,0,0,0,
	0.26583650,2.43314300,1.90000000,-4.25227300,16.56001000,17.84000000,1,0,0,0,
	0.27193150,2.45486000,1.90000000,-4.18198000,16.96001000,18.00000000,1,0,0,0,
	0.27792400,2.45486000,1.90000000,-4.18198000,17.20001000,18.16000000,1,0,0,0,
	0.28326960,2.45486000,1.90000000,-4.18198000,17.60001000,18.32000000,1,0,0,0,
	0.28729150,2.47897600,1.90000000,-4.10513300,17.84001000,18.40000000,1,0,0,0,
	0.29308820,2.47897600,1.90000000,-4.10513300,18.08001000,18.56000000,1,0,0,0,
	0.29879530,2.47897600,1.90000000,-4.10513300,18.40001000,18.72000000,1,0,0,0,
	0.30433290,2.47897600,1.90000000,-4.10513300,18.80001000,18.88000000,1,0,0,0,
	0.30844310,2.50611900,1.90000000,-4.02041200,19.12000000,19.04000000,1,0,0,0,
	0.31380340,2.50611900,1.90000000,-4.02041200,19.44001000,19.20000000,1,0,0,0,
	0.31883150,2.50611900,1.90000000,-4.02041200,19.76000000,19.28000000,1,0,0,0,
	0.32387990,2.50611900,1.90000000,-4.02041200,20.08001000,19.44000000,1,0,0,0,
	0.32864610,2.53619600,1.90000000,-3.92843100,20.48001000,19.60000000,1,0,0,0,
	0.33422250,2.53619600,1.90000000,-3.92843100,20.80001000,19.68000000,1,0,0,0,
	0.33976910,2.53619600,1.90000000,-3.92843100,21.04001000,19.84000000,1,0,0,0,
	0.34641270,2.56873400,1.90000000,-3.83057600,21.44001000,20.00000000,1,0,0,0,
	0.35158300,2.56873400,1.90000000,-3.83057600,21.84001000,20.16000000,1,0,0,0,
	0.35605880,2.56873400,1.90000000,-3.83057600,22.08001000,20.24000000,1,0,0,0,
	0.36167680,2.56873400,1.90000000,-3.83057600,22.32001000,20.32000000,1,0,0,0,
	0.36726720,2.60475300,1.90000000,-3.72465800,22.64001000,20.48000000,1,0,0,0,
	0.37372750,2.60475300,1.90000000,-3.72465800,22.88000000,20.56000000,1,0,0,0,
	0.37846670,2.60475300,1.90000000,-3.72465800,23.20000000,20.64000000,1,0,0,0,
	0.38268390,2.60475300,1.90000000,-3.72465800,23.44000000,20.64000000,1,0,0,0,
	0.38805500,2.64415000,1.90000000,-3.61102500,23.60000000,20.72000000,1,0,0,0,
	0.39275520,2.64415000,1.90000000,-3.61102500,23.84001000,20.80000000,1,0,0,0,
	0.39821540,2.64415000,1.90000000,-3.61102500,24.00000000,20.88000000,1,0,0,0,
	0.40381570,2.64415000,1.90000000,-3.61102500,24.24001000,20.96000000,1,0,0,0,
	0.40910690,2.68697400,1.90000000,-3.48964600,24.56001000,21.04000000,1,0,0,0,
	0.41404490,2.68697400,1.90000000,-3.48964600,24.72000000,21.12000000,1,0,0,0,
	0.41970600,2.68697400,1.90000000,-3.48964600,24.96000000,21.20000000,1,0,0,0,
	0.42490660,2.68697400,1.90000000,-3.48964600,25.12000000,21.20000000,1,0,0,0,
	0.43014620,2.73324800,1.90000000,-3.36055100,25.36000000,21.28000000,1,0,0,0,
	0.43555170,2.73324800,1.90000000,-3.36055100,25.52000000,21.28000000,1,0,0,0,
