map
	ez_nostalgia
end

values
	0.24472080,11.98891000,0.90000000,322.00000000,0.00000000,269.92500000,1,0,0,0,
	0.24889250,11.98891000,0.90000000,322.00000000,0.07500001,269.92500000,1,0,0,0,
	0.25183110,11.98891000,0.90000000,322.00000000,0.07500001,269.92500000,1,0,0,0,
	0.25673760,11.96977000,0.90000000,322.00000000,0.07500001,269.92500000,1,0,0,0,
	0.26106090,11.96977000,0.90000000,322.00000000,0.07500001,269.85000000,1,0,0,0,
	0.26655020,11.96977000,0.90000000,322.00000000,0.07500001,269.85000000,1,0,0,0,
	0.27275000,11.96977000,0.90000000,322.00000000,0.15000000,269.85000000,1,0,0,0,
	0.27968500,11.94227000,0.90000000,321.99990000,0.15000000,269.77500000,1,0,0,0,
	0.28505780,11.94227000,0.90000000,321.99990000,0.22500000,269.70000000,1,0,0,0,
	0.29115260,11.94227000,0.90000000,321.99990000,0.30000000,269.62490000,1,0,0,0,
	0.29862770,11.90740000,0.90000000,321.99980000,0.37500000,269.54990000,1,0,0,0,
	0.30361900,11.90740000,0.90000000,321.99980000,0.52500000,269.39990000,1,0,0,0,
	0.30761190,11.90740000,0.90000000,321.99980000,0.60000010,269.24990000,1,0,0,0,
	0.31323500,11.86595000,0.90000000,321.99950000,0.67500000,269.17490000,1,0,0,0,
	0.31868070,11.86595000,0.90000000,321.99950000,0.82500000,269.02490000,1,0,0,0,
	0.32334260,11.86595000,0.90000000,321.99950000,0.90000000,268.87490000,1,0,0,0,
	0.32759040,11.86595000,0.90000000,321.99950000,1.05000000,268.72490000,1,0,0,0,
	0.33474540,11.81652000,0.90000000,321.99880000,1.12500000,268.57500000,1,0,0,0,
	0.33966880,11.81652000,0.90000000,321.99880000,1.27500000,268.34990000,1,0,0,0,
	0.34449220,11.81652000,0.90000000,321.99880000,1.42500000,268.20000000,1,0,0,0,
	0.34920390,11.81652000,0.90000000,321.99880000,1.50000000,268.05000000,1,0,0,0,
	0.35395180,11.75845000,0.90000000,321.99770000,1.65000000,267.90000000,1,0,0,0,
	0.35899010,11.75845000,0.90000000,321.99770000,1.72500000,267.82500000,1,0,0,0,
	0.36335870,11.75845000,0.90000000,321.99770000,1.87500000,267.67490000,1,0,0,0,
	0.36903880,11.75845000,0.90000000,321.99770000,1.95000000,267.52500000,1,0,0,0,
	0.37409820,11.69246000,0.90000000,321.99590000,2.17500000,267.30000000,1,0,0,0,
	0.37899710,11.69246000,0.90000000,321.99590000,2.32500000,267.15000000,1,0,0,0,
	0.38330660,11.69246000,0.90000000,321.99590000,2.47500000,267.00000000,1,0,0,0,
	0.38898830,11.69246000,0.90000000,321.99590000,2.55000000,266.92500000,1,0,0,0,
	0.39501590,11.61851000,0.90000000,321.99330000,2.77500000,266.70000000,1,0,0,0,
	0.39952990,11.61851000,0.90000000,321.99330000,2.92500000,266.55000000,1,0,0,0,
	0.40323680,11.61851000,0.90000000,321.99330000,3.07500000,266.40000000,1,0,0,0,
	0.40725320,11.61851000,0.90000000,321.99330000,3.22500100,266.32500000,1,0,0,0,
	0.41126800,11.61851000,0.90000000,321.99330000,3.30000000,266.17500000,1,0,0,0,
	0.41562600,11.53570000,0.90000000,321.98980000,3.45000100,266.09990000,1,0,0,0,
	0.42114350,11.53570000,0.90000000,321.98980000,3.60000200,265.95000000,1,0,0,0,
	0.42529340,11.53570000,0.90000000,321.98980000,3.75000000,265.80000000,1,0,0,0,
	0.43172880,11.53570000,0.90000000,321.98980000,3.90000100,265.72490000,1,0,0,0,
	0.43655290,11.44475000,0.90000000,321.98530000,4.05000100,265.57500000,1,0,0,0,
	0.44118360,11.44475000,0.90000000,321.98530000,4.20000100,265.49990000,1,0,0,0,
	0.44665050,11.44475000,0.90000000,321.98530000,4.27500100,265.42490000,1,0,0,0,
	0.45090590,11.44475000,0.90000000,321.98530000,4.42500100,265.27490000,1,0,0,0,
	0.45525070,11.34617000,0.90000000,321.97970000,4.57500100,265.19990000,1,0,0,0,
	0.46040340,11.34617000,0.90000000,321.97970000,4.65000100,265.19990000,1,0,0,0,
	0.46708040,11.34617000,0.90000000,321.97970000,4.80000100,265.12490000,1,0,0,0,
	0.47241370,11.34617000,0.90000000,321.97970000,4.95000000,264.97490000,1,0,0,0,
