map
	ez_athletic
end

values
	0.31828740,-21.51228000,18.90000000,55.95208000,23.85012000,179.85030000,1,0,0,0,
	0.32272850,-21.51228000,18.90000000,55.95208000,23.85012000,179.85030000,1,0,0,0,
	0.32692310,-21.51188000,18.90000000,55.79808000,23.85012000,179.85030000,1,0,0,0,
	0.33151850,-21.51188000,18.90000000,55.79808000,23.85012000,179.85030000,1,0,0,0,
	0.33618690,-21.51188000,18.90000000,55.79808000,23.85012000,179.85030000,1,0,0,0,
	0.34043070,-21.51188000,18.90000000,55.79808000,23.92512000,179.85030000,1,0,0,0,
	0.34431100,-21.51147000,18.90000000,55.64408000,23.92512000,179.85030000,1,0,0,0,
	0.34840060,-21.51147000,18.90000000,55.64408000,23.92512000,179.85030000,1,0,0,0,
	0.35475290,-21.51147000,18.90000000,55.64408000,23.92512000,179.85030000,1,0,0,0,
	0.36142030,-21.51147000,18.90000000,55.64408000,23.92512000,179.77530000,1,0,0,0,
	0.36692490,-21.51107000,19.01060000,55.49008000,24.00012000,179.77530000,1,0,0,0,
	0.37235500,-21.51107000,19.01060000,55.49008000,24.07512000,179.70030000,1,0,0,0,
	0.37655630,-21.51107000,19.01060000,55.49008000,24.07512000,179.62530000,1,0,0,0,
	0.38291110,-21.51107000,19.01060000,55.49008000,24.15012000,179.55030000,1,0,0,0,
	0.38816290,-21.51066000,19.11480000,55.33608000,24.22513000,179.47530000,1,0,0,0,
	0.39330970,-21.51066000,19.11480000,55.33608000,24.30013000,179.40030000,1,0,0,0,
	0.39920010,-21.51066000,19.11480000,55.33608000,24.30013000,179.25030000,1,0,0,0,
	0.40514390,-21.51025000,19.21260000,55.18208000,24.37513000,179.17530000,1,0,0,0,
	0.41689680,-21.51025000,19.21260000,55.18208000,24.37512000,179.02530000,1,0,0,0,
	0.42522380,-21.50984000,19.30400000,55.02808000,24.37512000,178.72530000,1,0,0,0,
	0.43199490,-21.50984000,19.30400000,55.02808000,24.45012000,178.57530000,1,0,0,0,
	0.43654600,-21.50984000,19.30400000,55.02808000,24.45012000,178.42530000,1,0,0,0,
	0.43950820,-21.50984000,19.30400000,55.02808000,24.45012000,178.42530000,1,0,0,0,
	0.44436660,-21.50943000,19.38900000,54.87408000,24.45012000,178.42530000,1,0,0,0,
	0.44844520,-21.50943000,19.38900000,54.87408000,24.45012000,178.42530000,1,0,0,0,
	0.45214900,-21.50943000,19.38900000,54.87408000,24.45012000,178.42530000,1,0,0,0,
	0.45823870,-21.50943000,19.38900000,54.87408000,24.45012000,178.42530000,1,0,0,0,
	0.46357110,-21.50943000,19.38900000,54.87408000,24.45012000,178.42530000,1,0,0,0,
	0.47231420,-21.50903000,19.46760000,54.72008000,24.45012000,178.42530000,1,0,1,0,
	0.48196390,-21.50903000,19.46760000,54.72008000,24.45012000,178.42530000,1,0,1,0,
	0.48939740,-21.50862000,19.53980000,54.56608000,24.52513000,178.42530000,1,0,1,0,
	0.49965610,-21.50862000,19.53980000,54.56608000,24.60012000,178.50030000,1,0,1,0,
	0.50767860,-21.50821000,19.60560000,54.41208000,24.67513000,178.65030000,1,0,1,0,
	0.51569440,-21.50821000,19.60560000,54.41208000,24.82513000,179.02530000,1,0,1,0,
	0.52163020,-21.50821000,19.60560000,54.41208000,25.05013000,179.47530000,1,0,1,0,
	0.52858400,-21.50780000,19.66500000,54.25808000,25.20013000,179.92530000,1,0,1,0,
	0.53686540,-21.50780000,19.66500000,54.25808000,25.35013000,180.45030000,1,0,1,0,
	0.54290540,-21.50780000,19.66500000,54.25808000,25.57513000,181.35030000,1,0,1,0,
	0.55000280,-21.50739000,19.71800000,54.10408000,25.72513000,182.02530000,1,0,1,0,
	0.55704400,-21.50739000,19.71800000,54.10408000,25.87513000,182.77530000,1,0,1,0,
	0.56305450,-21.50739000,19.71800000,54.10408000,26.02513000,183.37530000,1,0,1,0,
	0.56927970,-21.50698000,19.76460000,53.95008000,26.10013000,183.82530000,1,0,1,0,
	0.57567050,-21.50698000,19.76460000,53.95008000,26.17513000,184.27530000,1,0,1,0,
	0.57966450,-21.50698000,19.76460000,53.95008000,26.32512000,184.65030000,1,0,1,0,
	0.58515440,-21.50658000,19.80480000,53.79609000,26.32513000,184.80030000,1,0,1,0,
	0.59104840,-21.50658000,19.80480000,53.79609000,26.40013000,185.02530000,1,0,1,0,
	0.59686800,-21.50658000,19.80480000,53.79609000,26.47513000,185.25030000,1,0,1,0,
	0.60249320,-21.50658000,19.80480000,53.79609000,26.55013000,185.40030000,1,0,1,0,
	0.60617370,-21.50617000,19.83860000,53.64209000,26.62513000,185.55030000,1,0,1,0,
	0.61185210,-21.50617000,19.83860000,53.64209000,26.62513000,185.62530000,1,0,1,0,
	0.61696750,-21.50617000,19.83860000,53.64209000,26.70013000,185.70030000,1,0,1,0,
	0.62067860,-21.50617000,19.83860000,53.64209000,26.77513000,185.77530000,1,0,1,0,
	0.62561020,-21.50576000,19.86600000,53.48809000,26.77513000,185.85030000,1,0,1,0,
	0.63172010,-21.50576000,19.86600000,53.48809000,26.85013000,185.92530000,1,0,1,0,
	0.63544090,-21.50576000,19.86600000,53.48809000,27.00013000,186.07530000,1,0,1,0,
	0.64016130,-21.50576000,19.86600000,53.48809000,27.07513000,186.07530000,1,0,1,0,
	0.64592840,-21.50535000,19.88700000,53.33409000,27.07513000,186.07530000,1,0,1,0,
	0.65042940,-21.50535000,19.88700000,53.33409000,27.15014000,186.07530000,1,0,1,0,
	0.65502110,-21.50535000,19.88700000,53.33409000,27.15014000,186.07530000,1,0,1,0,
	0.66119410,-21.50535000,19.88700000,53.33409000,27.22513000,186.07530000,1,0,1,0,
	0.66635510,-21.50494000,19.90160000,53.18009000,27.30014000,186.07530000,1,0,1,0,
	0.67218970,-21.50494000,19.90160000,53.18009000,27.37514000,186.07530000,1,0,1,0,
	0.67599920,-21.50494000,19.90160000,53.18009000,27.45014000,186.00030000,1,0,1,0,
	0.68108240,-21.50494000,19.90160000,53.18009000,27.45014000,186.00030000,1,0,1,0,
	0.68600740,-21.50454000,19.90980000,53.02609000,27.52514000,185.85030000,1,0,1,0,
	0.69362280,-21.50454000,19.90980000,53.02609000,27.60014000,185.77530000,1,0,1,0,
	0.69849370,-21.50454000,19.90980000,53.02609000,27.67514000,185.62530000,1,0,1,0,
	0.70388860,-21.50413000,19.91160000,52.87209000,27.75014000,185.55030000,1,0,1,0,
	0.70969000,-21.50413000,19.91160000,52.87209000,27.82514000,185.40030000,1,0,1,0,
	0.71470390,-21.50413000,19.91160000,52.87209000,27.82514000,185.25030000,1,0,1,0,
	0.71850500,-21.50413000,19.91160000,52.87209000,27.90014000,185.17530000,1,0,1,0,
	0.72375080,-21.50372000,19.90700000,52.71809000,27.97514000,185.02530000,1,0,1,0,
	0.72926800,-21.50372000,19.90700000,52.71809000,28.05014000,184.95030000,1,0,1,0,
	0.73377690,-21.50372000,19.90700000,52.71809000,28.12514000,184.80030000,1,0,1,0,
	0.73836590,-21.50372000,19.90700000,52.71809000,28.20014000,184.65030000,1,0,1,0,
