map
	ez_square2
end

values
	0.00541330,-4.98513700,1.90000000,-4.57891700,15.84000000,344.88000000,1,0,0,0,
	0.01183300,-4.99076900,1.90000000,-4.55807000,15.92000000,344.88000000,1,0,0,0,
	0.01626860,-4.99076900,1.90000000,-4.55807000,16.00000000,344.80000000,1,0,0,0,
	0.01918190,-4.99076900,1.90000000,-4.55807000,16.00000000,344.80000000,1,0,0,0,
	0.02280000,-4.99076900,1.90000000,-4.55807000,16.00000000,344.80000000,1,0,0,0,
	0.02581360,-4.99076900,1.90000000,-4.55807000,16.00000000,344.80000000,1,0,0,0,
	0.02919320,-4.99855500,1.90000000,-4.52935300,16.00000000,344.80000000,1,0,0,0,
	0.03498720,-4.99855500,1.90000000,-4.52935300,16.00000000,344.80000000,1,0,0,0,
	0.03849010,-4.99855500,1.90000000,-4.52935300,16.08000000,344.72000000,1,0,0,0,
	0.04398010,-4.99855500,1.90000000,-4.52935300,16.08000000,344.72000000,1,0,0,0,
	0.04781110,-5.00827100,1.90000000,-4.49362900,16.16000000,344.72000000,1,0,0,0,
	0.05271320,-5.00827100,1.90000000,-4.49362900,16.16000000,344.72000000,1,0,0,0,
	0.05658760,-5.00827100,1.90000000,-4.49362900,16.23999000,344.64000000,1,0,0,0,
	0.06072350,-5.00827100,1.90000000,-4.49362900,16.23999000,344.64000000,1,0,0,0,
	0.06432700,-5.00827100,1.90000000,-4.49362900,16.31999000,344.64000000,1,0,0,0,
	0.06739500,-5.02016600,1.90000000,-4.45006500,16.31999000,344.64000000,1,0,0,0,
	0.07346010,-5.02016600,1.90000000,-4.45006500,16.31999000,344.64000000,1,0,0,0,
	0.07856080,-5.02016600,1.90000000,-4.45006500,16.40000000,344.56000000,1,0,0,0,
	0.08220150,-5.02016600,1.90000000,-4.45006500,16.47999000,344.56000000,1,0,0,0,
	0.08713090,-5.03399100,1.90000000,-4.39961600,16.47999000,344.56000000,1,0,0,0,
	0.09225129,-5.03399100,1.90000000,-4.39961600,16.56000000,344.56000000,1,0,0,0,
	0.09719949,-5.03399100,1.90000000,-4.39961600,16.64000000,344.56000000,1,0,0,0,
	0.10185910,-5.03399100,1.90000000,-4.39961600,16.72000000,344.56000000,1,0,0,0,
	0.10669290,-5.04993300,1.90000000,-4.34159400,16.80000000,344.56000000,1,0,0,0,
	0.11301570,-5.04993300,1.90000000,-4.34159400,16.88000000,344.56000000,1,0,0,0,
	0.11762620,-5.04993300,1.90000000,-4.34159400,17.04000000,344.56000000,1,0,0,0,
	0.12217430,-5.04993300,1.90000000,-4.34159400,17.12000000,344.56000000,1,0,0,0,
	0.12674720,-5.06805400,1.90000000,-4.27574300,17.28000000,344.56000000,1,0,0,0,
	0.13215080,-5.06805400,1.90000000,-4.27574300,17.35999000,344.56000000,1,0,0,0,
	0.13651830,-5.06805400,1.90000000,-4.27574300,17.43999000,344.56000000,1,0,0,0,
	0.14270750,-5.06805400,1.90000000,-4.27574300,17.59999000,344.56000000,1,0,0,0,
	0.14880700,-5.08837400,1.90000000,-4.20198000,17.76000000,344.56000000,1,0,0,0,
	0.15785530,-5.08837400,1.90000000,-4.20198000,17.91999000,344.56000000,1,0,0,0,
	0.16453740,-5.08837400,1.90000000,-4.20198000,18.23999000,344.56000000,1,0,0,0,
	0.17081790,-5.11102700,1.90000000,-4.11980100,18.39999000,344.56000000,1,0,0,0,
	0.17574700,-5.11102700,1.90000000,-4.11980100,18.63999000,344.56000000,1,0,0,0,
	0.18238290,-5.11102700,1.90000000,-4.11980100,18.79999000,344.56000000,1,0,0,0,
	0.18687240,-5.13558600,1.90000000,-4.03074400,19.04000000,344.56000000,1,0,0,0,
	0.19278870,-5.13558600,1.90000000,-4.03074400,19.27999000,344.56000000,1,0,0,0,
	0.19883400,-5.13558600,1.90000000,-4.03074400,19.51999000,344.64000000,1,0,0,0,
	0.20432600,-5.13558600,1.90000000,-4.03074400,19.75999000,344.64000000,1,0,0,0,
	0.21074580,-5.16245400,1.90000000,-3.93321800,19.99999000,344.72000000,1,0,0,0,
	0.21637840,-5.16245400,1.90000000,-3.93321800,20.31999000,344.72000000,1,0,0,0,
	0.22072610,-5.16245400,1.90000000,-3.93321800,20.55999000,344.72000000,1,0,0,0,
	0.22682750,-5.19102200,1.90000000,-3.82935700,20.79999000,344.80000000,1,0,0,0,
	0.23174660,-5.19102200,1.90000000,-3.82935700,21.12000000,344.80000000,1,0,0,0,
	0.23815350,-5.19102200,1.90000000,-3.82935700,21.35999000,344.80000000,1,0,0,0,
	0.24469230,-5.19102200,1.90000000,-3.82935700,21.67999000,344.88000000,1,0,0,0,
	0.25064980,-5.22202900,1.90000000,-3.71622400,21.99999000,344.96000000,1,0,0,0,
	0.25674820,-5.22202900,1.90000000,-3.71622400,22.23999000,344.96000000,1,0,0,0,
	0.26182700,-5.22202900,1.90000000,-3.71622400,22.55999000,345.03990000,1,0,0,0,
	0.26650320,-5.25474300,1.90000000,-3.59645200,22.79999000,345.03990000,1,0,0,0,
	0.27186830,-5.25474300,1.90000000,-3.59645200,23.03999000,345.11990000,1,0,0,0,
	0.27794080,-5.25474300,1.90000000,-3.59645200,23.27999000,345.11990000,1,0,0,0,
	0.28268280,-5.25474300,1.90000000,-3.59645200,23.59999000,345.19990000,1,0,0,0,
	0.28847280,-5.28948500,1.90000000,-3.46858800,23.83999000,345.27990000,1,0,0,0,
	0.29505230,-5.28948500,1.90000000,-3.46858800,24.07999000,345.35990000,1,0,0,0,
	0.29951530,-5.28948500,1.90000000,-3.46858800,24.39999000,345.43990000,1,0,0,0,
	0.30388160,-5.28948500,1.90000000,-3.46858800,24.55999000,345.43990000,1,0,0,0,
	0.30838720,-5.32621000,1.90000000,-3.33247600,24.79999000,345.51990000,1,0,0,0,
	0.31513630,-5.32621000,1.90000000,-3.33247600,24.95999000,345.59990000,1,0,0,0,
	0.31985010,-5.32621000,1.90000000,-3.33247600,25.27999000,345.67980000,1,0,0,0,
	0.32589100,-5.32621000,1.90000000,-3.33247600,25.43999000,345.67980000,1,0,0,0,
	0.33188340,-5.36492000,1.90000000,-3.18778400,25.67999000,345.75980000,1,0,0,0,
	0.33678260,-5.36492000,1.90000000,-3.18778400,25.83999000,345.83980000,1,0,0,0,
	0.34222780,-5.36492000,1.90000000,-3.18778400,26.07999000,345.91980000,1,0,0,0,
	0.34717010,-5.40450100,1.90000000,-3.03894200,26.31999000,345.91980000,1,0,0,0,
	0.35638150,-5.40450100,1.90000000,-3.03894200,26.47999000,345.99980000,1,0,0,0,
	0.36103260,-5.40450100,1.90000000,-3.03894200,26.87999000,345.99980000,1,0,0,0,
