map
	ez_nostalgia
end

values
	0.00402920,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.00845240,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.01172760,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.01505290,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.01838500,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.02178390,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.02450240,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.02845120,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.03699660,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.04422620,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.04830380,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.05162800,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.05410020,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.05693910,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.05971660,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.06268369,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.06596509,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.06855939,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.07182949,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.07424009,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.07703269,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.07983088,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.08230159,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.08591519,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.08927979,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.09269258,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.09551198,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.09900518,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.10172770,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.10517370,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.10855170,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.11252260,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.11502430,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.11737490,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.12049880,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.12290120,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.12562750,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.12817030,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.13089890,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.13408720,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.13649400,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.13923680,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.14219330,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.14466630,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.14746870,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.15035680,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.15290330,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.15583090,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.15861770,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.16183980,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.16473250,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.16791170,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.17133110,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.17440080,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.17764480,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.18115380,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.18455740,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.18731910,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.19173410,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,0,0,0,0,
	0.19705570,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,1,0,0,0,
	0.20185380,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,1,0,0,0,
	0.20623410,-180.00000000,-1.10000000,113.00000000,0.00000000,180.00000000,1,0,0,0,
	0.20957490,-180.00000000,-1.10000000,112.99050000,0.00000000,180.00000000,1,0,0,0,
	0.21378930,-180.00000000,-1.10000000,112.99050000,0.00000000,180.00000000,1,0,0,0,
	0.21718070,-180.00000000,-1.10000000,112.99050000,0.00000000,180.00000000,1,0,0,0,
	0.22019310,-180.00000000,-1.10000000,112.99050000,0.00000000,180.00000000,1,0,0,0,
	0.22452640,-180.00000000,-1.10000000,112.99050000,0.00000000,180.00000000,1,0,0,0,
	0.22744040,-180.00000000,-1.10000000,112.99050000,0.00000000,180.00000000,1,0,0,0,
	0.23063950,-180.00000000,-1.10000000,112.97250000,0.00000000,180.00000000,1,0,0,0,
