map
	ez_square2
end

values
	0.00476450,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.00953030,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.01262010,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.01661960,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.01970750,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.02381370,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.02703920,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.03121010,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.03487150,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.03843570,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.04248200,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.04618230,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.05055810,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.05390140,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.05794160,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.06083160,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.06507980,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.06871410,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.07264100,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.07603820,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.07996339,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.08348589,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.08719149,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.09222759,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.09583409,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.10015040,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.10372480,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.10770740,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.11225470,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.11531860,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.11925120,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.12248500,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.12668160,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.12992320,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.13437570,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.13743780,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.14140070,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.14435870,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.14860170,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.15150340,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.15550460,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.16011350,4.73152200,1.90000000,-4.76878200,20.71998000,0.24007750,0,0,0,0,
	0.16387500,4.73152200,1.90000000,-4.76878200,20.79999000,0.24007750,0,0,0,0,
	0.17001030,4.73152200,1.90000000,-4.76878200,20.79999000,0.24007750,0,0,0,0,
	0.17529480,4.73152200,1.90000000,-4.76878200,20.87999000,0.32007270,0,0,0,0,
	0.17993180,4.73152200,1.90000000,-4.76878200,20.95999000,0.32007270,0,0,0,0,
	0.18719180,4.73152200,1.90000000,-4.76878200,21.03999000,0.32007270,1,0,0,0,
	0.19514510,4.73152200,1.90000000,-4.76878200,21.11998000,0.40004050,1,0,0,0,
	0.19950670,4.73152200,1.90000000,-4.76878200,21.19999000,0.48003570,1,0,0,0,
	0.20524530,4.73163500,1.90000000,-4.75587100,21.35999000,0.56003090,1,0,0,0,
	0.21096240,4.73163500,1.90000000,-4.75587100,21.43999000,0.56003090,1,0,0,0,
	0.21627970,4.73163500,1.90000000,-4.75587100,21.59998000,0.63999870,1,0,0,0,
	0.22230560,4.73163500,1.90000000,-4.75587100,21.67998000,0.71999390,1,0,0,0,
	0.22993550,4.73189200,1.90000000,-4.73384100,21.83998000,0.79998920,1,0,0,0,
	0.23714880,4.73189200,1.90000000,-4.73384100,22.07999000,0.87998430,1,0,0,0,
	0.24207490,4.73189200,1.90000000,-4.73384100,22.23999000,0.95995220,1,0,0,0,
	0.24773970,4.73233300,1.90000000,-4.70390500,22.39998000,1.03994700,1,0,0,0,
	0.25344360,4.73233300,1.90000000,-4.70390500,22.55998000,1.11994300,1,0,0,0,
	0.25866760,4.73233300,1.90000000,-4.70390500,22.71998000,1.19991000,1,0,0,0,
	0.26429230,4.73297500,1.90000000,-4.66733500,22.87998000,1.27990500,1,0,0,0,
	0.27011500,4.73297500,1.90000000,-4.66733500,23.03998000,1.35990100,1,0,0,0,
	0.27551610,4.73297500,1.90000000,-4.66733500,23.19998000,1.43986800,1,0,0,0,
	0.28107230,4.73297500,1.90000000,-4.66733500,23.35998000,1.59988600,1,0,0,0,
	0.28716040,4.73397000,1.90000000,-4.62180800,23.51999000,1.67988200,1,0,0,0,
	0.29386230,4.73397000,1.90000000,-4.62180800,23.67998000,1.75984900,1,0,0,0,
	0.30065080,4.73397000,1.90000000,-4.62180800,23.83998000,1.83984500,1,0,0,0,
	0.30732840,4.73535000,1.90000000,-4.56845800,23.99998000,1.99983500,1,0,0,0,
	0.31321650,4.73535000,1.90000000,-4.56845800,24.23998000,2.07983000,1,0,0,0,
	0.31861300,4.73535000,1.90000000,-4.56845800,24.39998000,2.15982500,1,0,0,0,
	0.32569530,4.73713300,1.90000000,-4.50793300,24.55998000,2.23979400,1,0,0,0,
	0.33178530,4.73713300,1.90000000,-4.50793300,24.71998000,2.39981100,1,0,0,0,
