map
	ez_flyer
end

values
	0.38715360,-0.00633529,0.90000000,-84.60291000,10.65000000,357.45000000,1,0,0,0,
	0.39323280,-0.00633529,0.90000000,-84.60291000,10.85000000,357.35000000,1,0,0,0,
	0.39834750,-0.00896197,0.89999990,-84.52000000,11.10000000,357.20000000,1,0,0,0,
	0.40452080,-0.00896197,0.89999990,-84.52000000,11.25000000,357.10000000,1,0,0,0,
	0.40861070,-0.00896197,0.89999990,-84.52000000,11.45000000,356.95000000,1,0,0,0,
	0.41526930,-0.00896197,0.89999990,-84.52000000,11.60000000,356.85000000,1,0,0,0,
	0.42173040,-0.01238348,0.90000000,-84.42830000,11.85000000,356.70000000,1,0,0,0,
	0.42858920,-0.01238348,0.90000000,-84.42830000,12.05000000,356.55000000,1,0,0,0,
	0.43426690,-0.01238348,0.90000000,-84.42830000,12.30000000,356.45000000,1,0,0,0,
	0.44046550,-0.01657938,0.89999990,-84.32903000,12.50000000,356.35000000,1,0,0,0,
	0.44745040,-0.01657938,0.89999990,-84.32903000,12.70000000,356.25000000,1,0,0,0,
	0.45353820,-0.01657938,0.89999990,-84.32903000,12.95000000,356.15000000,1,0,0,0,
	0.46057580,-0.02160723,0.90000000,-84.22209000,13.15000000,356.05000000,1,0,0,0,
	0.46648720,-0.02160723,0.90000000,-84.22209000,13.40000000,355.90000000,1,0,0,0,
	0.47039260,-0.02160723,0.90000000,-84.22209000,13.60000000,355.80000000,1,0,0,0,
	0.47692470,-0.02160723,0.90000000,-84.22209000,13.75000000,355.75000000,1,0,0,0,
	0.48409800,-0.02772502,0.89999990,-84.10584000,13.95000000,355.65000000,1,0,0,0,
	0.49203150,-0.02772502,0.89999990,-84.10584000,14.20000000,355.50000000,1,0,0,0,
	0.49725420,-0.02772502,0.89999990,-84.10584000,14.45000000,355.40000000,1,0,0,0,
	0.50352530,-0.03486208,0.90000000,-83.98151000,14.65000000,355.30000000,1,0,0,0,
	0.51029840,-0.03486208,0.90000000,-83.98151000,14.80000000,355.20000000,1,0,0,0,
	0.51508800,-0.03486208,0.90000000,-83.98151000,15.05000000,355.10000000,1,0,0,0,
	0.51919940,-0.04293518,0.89999990,-83.85011000,15.15000000,355.05000000,1,0,0,0,
	0.52649980,-0.04293518,0.89999990,-83.85011000,15.25000000,355.00000000,1,0,0,0,
	0.53201260,-0.04293518,0.89999990,-83.85011000,15.50000000,354.90000000,1,0,0,0,
	0.53690650,-0.04293518,0.89999990,-83.85011000,15.65000000,354.80000000,1,0,0,0,
	0.54192190,-0.05219559,0.90000000,-83.71003000,15.75000000,354.75000000,1,0,0,0,
	0.54732530,-0.05219559,0.90000000,-83.71003000,15.90000000,354.70000000,1,0,0,0,
	0.55301890,-0.05219559,0.90000000,-83.71003000,16.05000000,354.65000000,1,0,0,0,
	0.55838580,-0.06235292,0.89999990,-83.56356000,16.20000000,354.60000000,1,0,0,0,
	0.56454720,-0.06235292,0.89999990,-83.56356000,16.35000000,354.55000000,1,0,0,0,
	0.56872550,-0.06235292,0.89999990,-83.56356000,16.50000000,354.45000000,1,0,0,0,
	0.57355180,-0.06235292,0.89999990,-83.56356000,16.60000000,354.40000000,1,0,0,0,
	0.57950550,-0.07358645,0.90000000,-83.40992000,16.70000000,354.35000000,1,0,0,0,
	0.58557020,-0.07358645,0.90000000,-83.40992000,16.90000000,354.30000000,1,0,0,0,
	0.58987850,-0.07358645,0.90000000,-83.40992000,17.05000000,354.20000000,1,0,0,0,
	0.59440310,-0.07358645,0.90000000,-83.40992000,17.20000000,354.15000000,1,0,0,0,
	0.59952170,-0.08521894,0.89999990,-83.25630000,17.30000000,354.10000000,1,0,0,0,
	0.60525490,-0.08521894,0.89999990,-83.25630000,17.40000000,354.05000000,1,0,0,0,
	0.60898220,-0.08521894,0.89999990,-83.25630000,17.60000000,354.00000000,1,0,0,0,
	0.61405860,-0.08521894,0.89999990,-83.25630000,17.70000000,353.95000000,1,0,0,0,
	0.61845920,-0.09724410,0.90000000,-83.10271000,17.85000000,353.90000000,1,0,0,0,
	0.62320800,-0.09724410,0.90000000,-83.10271000,17.95000000,353.85000000,1,0,0,0,
	0.62905700,-0.09724410,0.90000000,-83.10271000,18.10000000,353.80000000,1,0,0,0,
	0.63404230,-0.09724410,0.90000000,-83.10271000,18.25000000,353.75000000,1,0,0,0,
	0.63775700,-0.10968220,0.89999990,-82.94914000,18.40000000,353.70000000,1,0,0,0,
	0.64308150,-0.10968220,0.89999990,-82.94914000,18.50000000,353.65000000,1,0,0,0,
	0.64808910,-0.10968220,0.89999990,-82.94914000,18.65000000,353.60000000,1,0,0,0,
	0.65198520,-0.10968220,0.89999990,-82.94914000,18.80000000,353.55000000,1,0,0,0,
	0.65716980,-0.10968220,0.89999990,-82.94914000,18.85000000,353.55000000,1,0,0,0,
	0.66228390,-0.12260790,0.90000000,-82.79562000,18.99999000,353.50000000,1,0,0,0,
	0.66768720,-0.12260790,0.90000000,-82.79562000,19.15000000,353.45000000,1,0,0,0,
	0.67208150,-0.12260790,0.90000000,-82.79562000,19.30000000,353.40000000,1,0,0,0,
	0.67820970,-0.13585090,0.89999990,-82.64212000,19.40000000,353.35000000,1,0,0,0,
	0.68448010,-0.13585090,0.89999990,-82.64212000,19.55000000,353.30000000,1,0,0,0,
	0.68963690,-0.13585090,0.89999990,-82.64212000,19.70000000,353.25000000,1,0,0,0,
