map
	ez_training
end

values
	0.25647000,8.10723900,0.90000000,13.06566000,20.85000000,182.00030000,1,0,0,0,
	0.25957530,8.10723900,0.90000000,13.06566000,20.85000000,181.95030000,1,0,0,0,
	0.26426860,8.10723900,0.90000000,13.06566000,20.85000000,181.95030000,1,0,0,0,
	0.26772110,8.10598900,0.90000000,13.02975000,20.85000000,181.90030000,1,0,0,0,
	0.27289240,8.10598900,0.90000000,13.02975000,20.85000000,181.90030000,1,0,0,0,
	0.27769210,8.10598900,0.90000000,13.02975000,20.85000000,181.85030000,1,0,0,0,
	0.28095460,8.10598900,0.90000000,13.02975000,20.90000000,181.80020000,1,0,0,0,
	0.28532740,8.10455300,0.90000000,12.98716000,20.90000000,181.80020000,1,0,0,0,
	0.29080950,8.10455300,0.90000000,12.98716000,20.90000000,181.75020000,1,0,0,0,
	0.29420540,8.10455300,0.90000000,12.98716000,20.90000000,181.70020000,1,0,0,0,
	0.29920130,8.10455300,0.90000000,12.98716000,20.90000000,181.70020000,1,0,0,0,
	0.30438910,8.10455300,0.90000000,12.98716000,20.90000000,181.65020000,1,0,0,0,
	0.30872940,8.10290300,0.90000000,12.93521000,20.95000000,181.60020000,1,0,0,0,
	0.31380670,8.10290300,0.90000000,12.93521000,20.95000000,181.55020000,1,0,0,0,
	0.31821530,8.10290300,0.90000000,12.93521000,21.00000000,181.50020000,1,0,0,0,
	0.32409050,8.10290300,0.90000000,12.93521000,20.99999000,181.45020000,1,0,0,0,
	0.32912610,8.10112500,0.90000000,12.87537000,20.99999000,181.40020000,1,0,0,0,
	0.33433140,8.10112500,0.90000000,12.87537000,20.99999000,181.35020000,1,0,0,0,
	0.33965310,8.10112500,0.90000000,12.87537000,21.05000000,181.30020000,1,0,0,0,
	0.34272220,8.10112500,0.90000000,12.87537000,21.04999000,181.25020000,1,0,0,0,
	0.34628260,8.09926200,0.90000000,12.80808000,21.04999000,181.25020000,1,0,0,0,
	0.35072000,8.09926200,0.90000000,12.80808000,21.04999000,181.25020000,1,0,0,0,
