map
	ez_square2
end

values
	0.00894550,-4.26325400,1.90000000,-2.10223900,17.68000000,311.04170000,1,0,0,0,
	0.01416540,-4.27591900,1.90000000,-2.09128000,18.00000000,310.72160000,1,0,0,0,
	0.02111410,-4.27591900,1.90000000,-2.09128000,18.24001000,310.40160000,1,0,0,0,
	0.02766080,-4.27591900,1.90000000,-2.09128000,18.48000000,310.08160000,1,0,0,0,
	0.03429900,-4.29440800,1.90000000,-2.07561200,18.56000000,309.76160000,1,0,0,0,
	0.03926290,-4.29440800,1.90000000,-2.07561200,18.72000000,309.44160000,1,0,0,0,
	0.04571580,-4.29440800,1.90000000,-2.07561200,18.80000000,309.28160000,1,0,0,0,
	0.05168690,-4.31859900,1.90000000,-2.05550700,18.88000000,309.12160000,1,0,0,0,
	0.05700040,-4.31859900,1.90000000,-2.05550700,19.04000000,308.96160000,1,0,0,0,
	0.06377470,-4.31859900,1.90000000,-2.05550700,19.12000000,308.88160000,1,0,0,0,
	0.06820090,-4.31859900,1.90000000,-2.05550700,19.28000000,308.72160000,1,0,0,0,
	0.07231420,-4.34992500,1.90000000,-2.02992100,19.36000000,308.64160000,1,0,0,0,
	0.07787570,-4.34992500,1.90000000,-2.02992100,19.44000000,308.56160000,1,0,0,0,
	0.08424331,-4.34992500,1.90000000,-2.02992100,19.60000000,308.48170000,1,0,0,0,
	0.08933640,-4.34992500,1.90000000,-2.02992100,19.76000000,308.40170000,1,0,0,0,
	0.09382901,-4.38798100,1.90000000,-1.99921500,19.84000000,308.32170000,1,0,0,0,
	0.09967001,-4.38798100,1.90000000,-1.99921500,19.92000000,308.32170000,1,0,0,0,
	0.10554120,-4.38798100,1.90000000,-1.99921500,20.08000000,308.24170000,1,0,0,0,
	0.11157320,-4.43120300,1.90000000,-1.96458900,20.24000000,308.16170000,1,0,0,0,
	0.11737680,-4.43120300,1.90000000,-1.96458900,20.40000000,308.08170000,1,0,0,0,
	0.12161130,-4.43120300,1.90000000,-1.96458900,20.56000000,307.92170000,1,0,0,0,
	0.12990510,-4.43120300,1.90000000,-1.96458900,20.64000000,307.84170000,1,0,0,0,
	0.13505070,-4.48226000,1.90000000,-1.92416100,20.88000000,307.60170000,1,0,0,0,
	0.14095100,-4.48226000,1.90000000,-1.92416100,21.04000000,307.52180000,1,0,0,0,
	0.14631940,-4.48226000,1.90000000,-1.92416100,21.20000000,307.28180000,1,0,0,0,
	0.15210950,-4.53866000,1.90000000,-1.87991000,21.36000000,307.12170000,1,0,0,0,
	0.15702230,-4.53866000,1.90000000,-1.87991000,21.52000000,306.96180000,1,0,0,0,
	0.16356530,-4.53866000,1.90000000,-1.87991000,21.68000000,306.80180000,1,0,0,0,
	0.16798200,-4.53866000,1.90000000,-1.87991000,21.92000000,306.56180000,1,0,0,0,
	0.17239460,-4.60221100,1.90000000,-1.83074700,22.00000000,306.48180000,1,0,0,0,
	0.18004470,-4.60221100,1.90000000,-1.83074700,22.16000000,306.24180000,1,0,0,0,
	0.18476470,-4.60221100,1.90000000,-1.83074700,22.40000000,306.00180000,1,0,0,0,
	0.18986810,-4.60221100,1.90000000,-1.83074700,22.48000000,305.84180000,1,0,0,0,
	0.19706630,-4.67310800,1.90000000,-1.77679200,22.64000000,305.68180000,1,0,0,0,
	0.20141170,-4.67310800,1.90000000,-1.77679200,22.80000000,305.52180000,1,0,0,0,
	0.20839690,-4.67310800,1.90000000,-1.77679200,22.88000000,305.44180000,1,0,0,0,
	0.21244680,-4.75027800,1.90000000,-1.71886000,23.04000000,305.28180000,1,0,0,0,
	0.21850350,-4.75027800,1.90000000,-1.71886000,23.12000000,305.20180000,1,0,0,0,
	0.22530110,-4.75027800,1.90000000,-1.71886000,23.28000000,305.04180000,1,0,0,0,
	0.22928450,-4.75027800,1.90000000,-1.71886000,23.44000000,304.88180000,1,0,0,0,
	0.23349090,-4.83456000,1.90000000,-1.65650400,23.52000000,304.80180000,1,0,0,0,
	0.24008940,-4.83456000,1.90000000,-1.65650400,23.60000000,304.72180000,1,0,0,0,
	0.24462770,-4.83456000,1.90000000,-1.65650400,23.75999000,304.64180000,1,0,0,0,
	0.25104520,-4.92408300,1.90000000,-1.59093000,23.84000000,304.56190000,1,0,0,0,
	0.25665420,-4.92408300,1.90000000,-1.59093000,24.00000000,304.40190000,1,0,0,0,
	0.26295610,-4.92408300,1.90000000,-1.59093000,24.08000000,304.32190000,1,0,0,0,
	0.26720060,-4.92408300,1.90000000,-1.59093000,24.24000000,304.24190000,1,0,0,0,
	0.27202180,-5.02134900,1.90000000,-1.52067100,24.32000000,304.16190000,1,0,0,0,
	0.27734960,-5.02134900,1.90000000,-1.52067100,24.40000000,304.08190000,1,0,0,0,
	0.28379260,-5.02134900,1.90000000,-1.52067100,24.48000000,304.00190000,1,0,0,0,
	0.29024400,-5.02134900,1.90000000,-1.52067100,24.64000000,303.84190000,1,0,0,0,
	0.29460730,-5.12655400,1.90000000,-1.44568500,24.80000000,303.76190000,1,0,0,0,
	0.29979320,-5.12655400,1.90000000,-1.44568500,24.88000000,303.68190000,1,0,0,0,
	0.30563600,-5.12655400,1.90000000,-1.44568500,25.04000000,303.52190000,1,0,0,0,
	0.30963330,-5.12655400,1.90000000,-1.44568500,25.12000000,303.36190000,1,0,0,0,
	0.31614570,-5.23848500,1.90000000,-1.36679700,25.20000000,303.28200000,1,0,0,0,
	0.32177170,-5.23848500,1.90000000,-1.36679700,25.35999000,303.12190000,1,0,0,0,
	0.32805390,-5.23848500,1.90000000,-1.36679700,25.44000000,303.04200000,1,0,0,0,
	0.33326290,-5.35685400,1.90000000,-1.28427800,25.60000000,302.88200000,1,0,0,0,
	0.33957350,-5.35685400,1.90000000,-1.28427800,25.67999000,302.72200000,1,0,0,0,
	0.34443290,-5.35685400,1.90000000,-1.28427800,25.83999000,302.56200000,1,0,0,0,
	0.34995630,-5.35685400,1.90000000,-1.28427800,25.91999000,302.48190000,1,0,0,0,
	0.35670100,-5.48294100,1.90000000,-1.19754500,26.00000000,302.32200000,1,0,0,0,
	0.36477820,-5.48294100,1.90000000,-1.19754500,26.08000000,302.16190000,1,0,0,0,
	0.37055130,-5.61019800,1.90000000,-1.11058900,26.24000000,302.00200000,1,0,0,0,
	0.37551220,-5.61019800,1.90000000,-1.11058900,26.31999000,301.84200000,1,0,0,0,
	0.38025350,-5.61019800,1.90000000,-1.11058900,26.39999000,301.76200000,1,0,0,0,
	0.38846240,-5.61019800,1.90000000,-1.11058900,26.39999000,301.68200000,1,0,0,0,
	0.39311670,-5.73789200,1.90000000,-1.02423500,26.55999000,301.52200000,1,0,0,0,
