map
	ez_square2
end

values
	0.00507130,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.01068820,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.01541650,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.01989680,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.02343690,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.02868670,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.03335770,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.03722040,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.04187820,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.04577690,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.05081891,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.05545631,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.05869261,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.06328041,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.06831271,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.07284731,2.49917300,1.90000000,-2.98312600,15.60000000,25.52000000,0,0,0,0,
	0.07784371,2.49917300,1.90000000,-2.98312600,15.68000000,25.52000000,0,0,0,0,
	0.08222801,2.49917300,1.90000000,-2.98312600,15.68000000,25.52000000,0,0,0,0,
	0.08636941,2.49917300,1.90000000,-2.98312600,15.68000000,25.52000000,0,0,0,0,
	0.09127301,2.49917300,1.90000000,-2.98312600,15.68000000,25.52000000,0,0,0,0,
	0.09532001,2.49917300,1.90000000,-2.98312600,15.68000000,25.52000000,0,0,0,0,
	0.10068040,2.49917300,1.90000000,-2.98312600,15.68000000,25.52000000,0,0,0,0,
	0.10606650,2.49917300,1.90000000,-2.98312600,15.76000000,25.52001000,0,0,0,0,
	0.11057100,2.49917300,1.90000000,-2.98312600,15.76000000,25.52001000,0,0,0,0,
	0.11514010,2.49917300,1.90000000,-2.98312600,15.76000000,25.52001000,0,0,0,0,
	0.11979710,2.49917300,1.90000000,-2.98312600,15.84000000,25.52000000,0,0,0,0,
	0.12516540,2.49917300,1.90000000,-2.98312600,15.84000000,25.52000000,0,0,0,0,
	0.13033060,2.49917300,1.90000000,-2.98312600,15.92000000,25.60001000,0,0,0,0,
	0.13485340,2.49917300,1.90000000,-2.98312600,15.92000000,25.60001000,0,0,0,0,
	0.14063950,2.49917300,1.90000000,-2.98312600,15.92000000,25.60001000,0,0,0,0,
	0.15209760,2.49917300,1.90000000,-2.98312600,16.00000000,25.60000000,0,0,0,0,
	0.16124770,2.49917300,1.90000000,-2.98312600,16.08000000,25.60001000,0,0,0,0,
	0.16628430,2.49917300,1.90000000,-2.98312600,16.16000000,25.60000000,0,0,0,0,
	0.17017710,2.49917300,1.90000000,-2.98312600,16.16000000,25.60000000,0,0,0,0,
	0.17463230,2.49917300,1.90000000,-2.98312600,16.24000000,25.60001000,0,0,0,0,
	0.17967050,2.49917300,1.90000000,-2.98312600,16.24000000,25.60001000,0,0,0,0,
	0.18562020,2.49917300,1.90000000,-2.98312600,16.32000000,25.60000000,0,0,0,0,
	0.19145670,2.49917300,1.90000000,-2.98312600,16.40000000,25.60000000,0,0,0,0,
	0.19717810,2.49917300,1.90000000,-2.98312600,16.48000000,25.60000000,0,0,0,0,
	0.20253400,2.49917300,1.90000000,-2.98312600,16.56000000,25.60000000,0,0,0,0,
	0.20846280,2.49917300,1.90000000,-2.98312600,16.64000000,25.60000000,0,0,0,0,
	0.21172450,2.49917300,1.90000000,-2.98312600,16.72000000,25.60001000,0,0,0,0,
	0.21694880,2.49917300,1.90000000,-2.98312600,16.72000000,25.60001000,0,0,0,0,
	0.22279670,2.49917300,1.90000000,-2.98312600,16.80000000,25.60000000,0,0,0,0,
	0.22871200,2.49917300,1.90000000,-2.98312600,16.96000000,25.60001000,0,0,0,0,
	0.23277480,2.49917300,1.90000000,-2.98312600,17.04000000,25.60000000,0,0,0,0,
	0.24016350,2.49917300,1.90000000,-2.98312600,17.12000000,25.60000000,1,0,0,0,
	0.24805320,2.49917300,1.90000000,-2.98312600,17.28000000,25.60001000,1,0,0,0,
	0.25308850,2.49917300,1.90000000,-2.98312600,17.44000000,25.60001000,1,0,0,0,
	0.25881960,2.49917300,1.90000000,-2.98312600,17.60000000,25.60000000,1,0,0,0,
	0.26524340,2.50591000,1.90000000,-2.96906700,17.76000000,25.60001000,1,0,0,0,
	0.27120720,2.50591000,1.90000000,-2.96906700,17.92000000,25.60000000,1,0,0,0,
	0.27615320,2.50591000,1.90000000,-2.96906700,18.08000000,25.60000000,1,0,0,0,
	0.28206330,2.51564200,1.90000000,-2.94875400,18.24000000,25.60000000,1,0,0,0,
	0.28803650,2.51564200,1.90000000,-2.94875400,18.40000000,25.60000000,1,0,0,0,
	0.29430430,2.51564200,1.90000000,-2.94875400,18.56000000,25.60000000,1,0,0,0,
	0.30090580,2.52851100,1.90000000,-2.92189400,18.72000000,25.60000000,1,0,0,0,
	0.30685400,2.52851100,1.90000000,-2.92189400,18.96000000,25.60001000,1,0,0,0,
	0.31255350,2.52851100,1.90000000,-2.92189400,19.12000000,25.60001000,1,0,0,0,
	0.31856990,2.52851100,1.90000000,-2.92189400,19.28000000,25.60000000,1,0,0,0,
	0.32296330,2.54557400,1.90000000,-2.88628100,19.51999000,25.60001000,1,0,0,0,
	0.32909350,2.54557400,1.90000000,-2.88628100,19.67999000,25.60000000,1,0,0,0,
	0.33538070,2.54557400,1.90000000,-2.88628100,19.83999000,25.60000000,1,0,0,0,
	0.34077250,2.56554200,1.90000000,-2.84460300,20.07999000,25.60000000,1,0,0,0,
	0.34646840,2.56554200,1.90000000,-2.84460300,20.24000000,25.60001000,1,0,0,0,
	0.35191830,2.56554200,1.90000000,-2.84460300,20.39999000,25.60000000,1,0,0,0,
	0.35713800,2.56554200,1.90000000,-2.84460300,20.63999000,25.60000000,1,0,0,0,
	0.36318400,2.58927200,1.90000000,-2.79507700,20.79999000,25.60001000,1,0,0,0,
	0.36973870,2.58927200,1.90000000,-2.79507700,21.04000000,25.52000000,1,0,0,0,
	0.37593790,2.58927200,1.90000000,-2.79507700,21.27999000,25.52000000,1,0,0,0,
	0.38227330,2.61622600,1.90000000,-2.73875700,21.51999000,25.52000000,1,0,0,0,
