map
	ez_square
end

values
	0.26025750,56.06720000,1.90000000,0.02517912,5.77500200,354.30000000,1,0,0,0,
	0.26494680,56.06720000,1.90000000,0.02517912,6.00000100,354.22500000,1,0,0,0,
	0.26877870,56.06720000,1.90000000,0.02517912,6.22500100,354.07500000,1,0,0,0,
	0.27270650,56.06720000,1.90000000,0.02517912,6.45000100,354.00000000,1,0,0,0,
	0.27693880,56.06475000,1.90000000,0.04918556,6.67500000,353.92500000,1,0,0,0,
	0.28187480,56.06475000,1.90000000,0.04918556,6.90000000,353.77500000,1,0,0,0,
	0.28616430,56.06475000,1.90000000,0.04918556,7.20000000,353.62500000,1,0,0,0,
	0.29096330,56.06475000,1.90000000,0.04918556,7.42500100,353.55000000,1,0,0,0,
	0.29502920,56.06475000,1.90000000,0.04918556,7.72500100,353.40000000,1,0,0,0,
	0.29980990,56.06117000,1.90000000,0.08204980,8.02500100,353.32500000,1,0,0,0,
	0.30474800,56.06117000,1.90000000,0.08204980,8.32500100,353.17500000,1,0,0,0,
	0.30917310,56.06117000,1.90000000,0.08204980,8.70000200,352.95000000,1,0,0,0,
	0.31382460,56.06117000,1.90000000,0.08204980,9.00000200,352.80000000,1,0,0,0,
	0.31962790,56.05650000,1.90000000,0.12235540,9.37500100,352.72500000,1,0,0,0,
	0.32601820,56.05650000,1.90000000,0.12235540,9.82500000,352.50000000,1,0,0,0,
	0.33086110,56.05650000,1.90000000,0.12235540,10.27500000,352.27500000,1,0,0,0,
	0.33497810,56.05650000,1.90000000,0.12235540,10.65000000,352.12500000,1,0,0,0,
	0.33938840,56.05044000,1.90000000,0.17101340,11.02500000,351.97500000,1,0,0,0,
	0.34586190,56.05044000,1.90000000,0.17101340,11.25000000,351.82500000,1,0,0,0,
	0.35224370,56.05044000,1.90000000,0.17101340,11.85000000,351.60000000,1,0,0,0,
	0.35780700,56.04312000,1.90000000,0.22646890,12.30000000,351.37500000,1,0,0,0,
	0.36509900,56.04312000,1.90000000,0.22646890,12.82500000,351.15000000,1,0,0,0,
	0.37089290,56.04312000,1.90000000,0.22646890,13.50000000,350.92500000,1,0,0,0,
	0.37681940,56.03431000,1.90000000,0.28924540,13.95000000,350.77500000,1,0,0,0,
	0.38235500,56.03431000,1.90000000,0.28924540,14.47500000,350.55000000,1,0,0,0,
	0.38870500,56.03431000,1.90000000,0.28924540,14.92500000,350.32500000,1,0,0,0,
	0.39387550,56.03431000,1.90000000,0.28924540,15.45000000,350.10000000,1,0,0,0,
	0.39847250,56.02351000,1.90000000,0.36101310,15.90000000,349.95000000,1,0,0,0,
	0.40394370,56.02351000,1.90000000,0.36101310,16.27500000,349.72500000,1,0,0,0,
	0.40919490,56.02351000,1.90000000,0.36101310,16.72500000,349.57500000,1,0,0,0,
	0.41500590,56.02351000,1.90000000,0.36101310,17.10000000,349.42500000,1,0,0,0,
	0.41888480,56.01072000,1.90000000,0.44101350,17.55000000,349.20000000,1,0,0,0,
	0.42375540,56.01072000,1.90000000,0.44101350,17.85000000,349.05000000,1,0,0,0,
	0.42816450,56.01072000,1.90000000,0.44101350,18.22500000,348.90000000,1,0,0,0,
	0.43302770,56.01072000,1.90000000,0.44101350,18.52500000,348.75000000,1,0,0,0,
	0.43881570,55.99611000,1.90000000,0.52801040,18.90000000,348.60000000,1,0,0,0,
	0.44379310,55.99611000,1.90000000,0.52801040,19.42500000,348.37500000,1,0,0,0,
	0.44914680,55.99611000,1.90000000,0.52801040,19.72500000,348.30000000,1,0,0,0,
	0.45397210,55.99611000,1.90000000,0.52801040,20.02500000,348.07500000,1,0,0,0,
	0.45878590,55.97925000,1.90000000,0.62310700,20.40000000,347.92500000,1,0,0,0,
	0.46497330,55.97925000,1.90000000,0.62310700,20.77500000,347.77500000,1,0,0,0,
	0.46920520,55.97925000,1.90000000,0.62310700,21.07500000,347.62500000,1,0,0,0,
	0.47302330,55.97925000,1.90000000,0.62310700,21.37500000,347.47500000,1,0,0,0,
	0.47719050,55.96025000,1.90000000,0.72554450,21.60000000,347.32500000,1,0,0,0,
	0.48160980,55.96025000,1.90000000,0.72554450,21.82500000,347.25000000,1,0,0,0,
	0.48585320,55.96025000,1.90000000,0.72554450,22.12500000,347.10000000,1,0,0,0,
	0.49099620,55.96025000,1.90000000,0.72554450,22.34999000,346.95000000,1,0,0,0,
	0.50302420,55.93913000,1.90000000,0.83488270,22.57500000,346.80000000,1,0,0,0,
	0.50833460,55.93913000,1.90000000,0.83488270,23.25000000,346.42500000,1,0,0,0,
	0.51336430,55.93913000,1.90000000,0.83488270,23.47500000,346.20000000,1,0,0,0,
	0.51815220,55.91520000,1.90000000,0.95275960,23.70000000,346.05000000,1,0,0,0,
	0.52428200,55.91520000,1.90000000,0.95275960,23.92500000,345.90000000,1,0,0,0,
	0.52885470,55.91520000,1.90000000,0.95275960,24.15000000,345.67500000,1,0,0,0,
	0.53337810,55.91520000,1.90000000,0.95275960,24.37500000,345.52500000,1,0,0,0,
	0.53793080,55.88863000,1.90000000,1.07824200,24.60000000,345.37500000,1,0,0,0,
	0.54315450,55.88863000,1.90000000,1.07824200,24.82500000,345.22500000,1,0,0,0,
	0.54910530,55.88863000,1.90000000,1.07824200,24.97500000,345.07500000,1,0,0,0,
