map
	ez_square2
end

values
	0.00462430,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.00811180,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.01186050,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.01545500,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.01961270,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.02301210,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.02740270,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.03021050,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.03430460,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.03733000,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.04181580,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.04521380,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.04929820,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.05234500,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.05628441,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.05997451,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.06395001,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.06833511,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.07174481,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.07645371,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.07969611,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.08426251,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.08799941,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.09205941,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.09598721,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.09942761,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.10389650,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.10679890,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.11109070,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.11388930,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.11808880,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.12089680,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.12534800,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.12829980,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,0,0,0,0,
	0.13347930,2.66606100,1.90000000,-4.17489100,18.55999000,23.99999000,1,0,0,0,
	0.13960250,2.66837800,1.90000000,-4.16968600,18.55999000,23.99999000,1,0,0,0,
	0.14422280,2.66837800,1.90000000,-4.16968600,18.55999000,23.99999000,1,0,0,0,
	0.14774970,2.66837800,1.90000000,-4.16968600,18.55999000,23.99999000,1,0,0,0,
	0.15189170,2.66837800,1.90000000,-4.16968600,18.55999000,23.99999000,1,0,0,0,
	0.15480920,2.66837800,1.90000000,-4.16968600,18.55999000,23.99999000,1,0,0,0,
	0.15909690,2.67416600,1.90000000,-4.15668700,18.55999000,23.99999000,1,0,0,0,
	0.16284770,2.67416600,1.90000000,-4.15668700,18.55999000,23.99999000,1,0,0,0,
	0.16714150,2.67416600,1.90000000,-4.15668700,18.55999000,23.99999000,1,0,0,0,
	0.17012990,2.67416600,1.90000000,-4.15668700,18.55999000,23.99999000,1,0,0,0,
	0.17427020,2.67416600,1.90000000,-4.15668700,18.55999000,23.99999000,1,0,0,0,
	0.17832170,2.68312000,1.90000000,-4.13657600,18.55999000,23.99999000,1,0,0,0,
	0.18269280,2.68312000,1.90000000,-4.13657600,18.55999000,23.99999000,1,0,0,0,
	0.18691630,2.68312000,1.90000000,-4.13657600,18.55999000,23.99999000,1,0,0,0,
	0.19047630,2.68312000,1.90000000,-4.13657600,18.55999000,23.99999000,1,0,0,0,
	0.19623040,2.68312000,1.90000000,-4.13657600,18.55999000,23.99999000,1,0,0,0,
	0.20096470,2.69564600,1.90000000,-4.10844100,18.63999000,23.99999000,1,0,0,0,
	0.20490680,2.69564600,1.90000000,-4.10844100,18.63999000,23.99999000,1,0,0,0,
	0.20942520,2.69564600,1.90000000,-4.10844100,18.63999000,23.99999000,1,0,0,0,
	0.21314550,2.69564600,1.90000000,-4.10844100,18.63999000,23.99999000,1,0,0,0,
	0.21699280,2.69564600,1.90000000,-4.10844100,18.63999000,23.99999000,1,0,0,0,
	0.22113360,2.71155100,1.90000000,-4.07271900,18.63999000,23.99999000,1,0,0,0,
	0.22494050,2.71155100,1.90000000,-4.07271900,18.63999000,23.99999000,1,0,0,0,
	0.23003630,2.71155100,1.90000000,-4.07271900,18.63999000,23.99999000,1,0,0,0,
	0.23394700,2.71155100,1.90000000,-4.07271900,18.71999000,23.91999000,1,0,0,0,
	0.23759520,2.71155100,1.90000000,-4.07271900,18.71999000,23.91999000,1,0,0,0,
	0.24193590,2.73079100,1.90000000,-4.02946000,18.71999000,23.91999000,1,0,0,0,
	0.24630900,2.73079100,1.90000000,-4.02946000,18.71999000,23.91999000,1,0,0,0,
	0.25060810,2.73079100,1.90000000,-4.02946000,18.71999000,23.91999000,1,0,0,0,
	0.25494760,2.73079100,1.90000000,-4.02946000,18.71999000,23.91999000,1,0,0,0,
	0.25916030,2.75282900,1.90000000,-3.97985100,18.80000000,23.83999000,1,0,0,0,
	0.26431720,2.75282900,1.90000000,-3.97985100,18.80000000,23.83999000,1,0,0,0,
	0.26732900,2.75282900,1.90000000,-3.97985100,18.80000000,23.83999000,1,0,0,0,
	0.27277520,2.75282900,1.90000000,-3.97985100,18.80000000,23.83999000,1,0,0,0,
	0.27769010,2.75282900,1.90000000,-3.97985100,18.87999000,23.75999000,1,0,0,0,
	0.28238290,2.77850600,1.90000000,-3.92190300,18.87999000,23.75999000,1,0,0,0,
	0.28800870,2.77850600,1.90000000,-3.92190300,18.95999000,23.75999000,1,0,0,0,
