map
	ez_nostalgia
end

values
	0.00440210,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.00952510,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.01852010,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.02725030,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.03093960,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.03426540,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.03806250,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.04190940,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.04517310,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.04871760,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.05272960,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.05629480,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.05937810,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.06295830,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.06681520,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.07058400,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.07396410,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.07730079,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.08044589,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.08410119,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.08747679,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.09143479,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.09454019,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.09782290,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.10117130,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.10512360,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.10867230,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.11238370,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.11524080,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.11796550,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.12057900,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.12303380,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.12607330,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.12909050,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.13188730,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.13446080,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.13702750,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.13966710,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.14222790,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.14500640,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.14778990,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.15072420,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.15343820,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.15600440,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.15849050,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.16146200,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.16824070,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.17480080,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.17732470,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.17987500,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.18250540,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.18494740,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.18759210,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.19046870,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.19330740,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.19609440,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.19871980,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.20124370,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.20385700,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.20652320,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.20954150,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.21202510,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.21449780,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.21710910,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.21943060,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.22207030,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.22501580,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.22743450,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.23056300,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.23335530,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.23623460,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
	0.23960070,189.00000000,12.90000000,0.00000000,359.92500000,180.00000000,0,0,0,0,
