map
	ez_square2
end

values
	0.00912870,-4.85567500,1.90000000,-5.13100200,13.20002000,354.24010000,1,0,0,0,
	0.01631230,-4.85567500,1.90000000,-5.13100200,13.52001000,354.16010000,1,0,0,0,
	0.02215390,-4.85567500,1.90000000,-5.13100200,13.68001000,354.08010000,1,0,0,0,
	0.03160970,-4.85758900,1.90000000,-5.11243700,13.76001000,354.08010000,1,0,0,0,
	0.03807550,-4.85758900,1.90000000,-5.11243700,14.00001000,353.92010000,1,0,0,0,
	0.04367170,-4.85758900,1.90000000,-5.11243700,14.16001000,353.84010000,1,0,0,0,
	0.04852000,-4.86047500,1.90000000,-5.08532000,14.32001000,353.76010000,1,0,0,0,
	0.05339780,-4.86047500,1.90000000,-5.08532000,14.48001000,353.68010000,1,0,0,0,
	0.05915550,-4.86047500,1.90000000,-5.08532000,14.64001000,353.60010000,1,0,0,0,
	0.06496480,-4.86409600,1.90000000,-5.05205200,14.88001000,353.60010000,1,0,0,0,
	0.07418900,-4.86409600,1.90000000,-5.05205200,15.04001000,353.52010000,1,0,0,0,
	0.08577520,-4.86846800,1.90000000,-5.01281800,15.36001000,353.36010000,1,0,0,0,
	0.09297660,-4.86846800,1.90000000,-5.01281800,15.84001000,353.28020000,1,0,0,0,
	0.09836490,-4.86846800,1.90000000,-5.01281800,16.08001000,353.20020000,1,0,0,0,
	0.10492860,-4.87408500,1.90000000,-4.96399400,16.32001000,353.12020000,1,0,0,0,
	0.11057520,-4.87408500,1.90000000,-4.96399400,16.64001000,352.96020000,1,0,0,0,
	0.11685310,-4.87408500,1.90000000,-4.96399400,16.88001000,352.88020000,1,0,0,0,
	0.12179930,-4.87408500,1.90000000,-4.96399400,17.20001000,352.80020000,1,0,0,0,
	0.12801170,-4.88101200,1.90000000,-4.90588500,17.44001000,352.72020000,1,0,0,0,
	0.13607060,-4.88101200,1.90000000,-4.90588500,17.68001000,352.56020000,1,0,0,0,
	0.14151560,-4.88101200,1.90000000,-4.90588500,18.08001000,352.40020000,1,0,0,0,
	0.14744890,-4.88915300,1.90000000,-4.83998100,18.32001000,352.24020000,1,0,0,0,
	0.15489230,-4.88915300,1.90000000,-4.83998100,18.64001000,352.08020000,1,0,0,0,
	0.15978400,-4.88915300,1.90000000,-4.83998100,18.96001000,351.84020000,1,0,0,0,
	0.16511250,-4.89853900,1.90000000,-4.76687100,19.20001000,351.76020000,1,0,0,0,
	0.17394710,-4.89853900,1.90000000,-4.76687100,19.44001000,351.60020000,1,0,0,0,
	0.17824300,-4.89853900,1.90000000,-4.76687100,19.84001000,351.36020000,1,0,0,0,
	0.18506200,-4.90929700,1.90000000,-4.68649900,20.08001000,351.20020000,1,0,0,0,
	0.19123770,-4.90929700,1.90000000,-4.68649900,20.40001000,351.04020000,1,0,0,0,
	0.19620570,-4.90929700,1.90000000,-4.68649900,20.64001000,350.88020000,1,0,0,0,
	0.20127700,-4.90929700,1.90000000,-4.68649900,20.88001000,350.80020000,1,0,0,0,
	0.20749060,-4.92189300,1.90000000,-4.59708500,21.04001000,350.72020000,1,0,0,0,
	0.21339600,-4.92189300,1.90000000,-4.59708500,21.36001000,350.56020000,1,0,0,0,
	0.21906810,-4.92189300,1.90000000,-4.59708500,21.60001000,350.40020000,1,0,0,0,
	0.22647480,-4.93598300,1.90000000,-4.50070300,21.84001000,350.32030000,1,0,0,0,
	0.23220210,-4.93598300,1.90000000,-4.50070300,22.16001000,350.16020000,1,0,0,0,
	0.23734640,-4.93598300,1.90000000,-4.50070300,22.32001000,350.08030000,1,0,0,0,
	0.24355220,-4.93598300,1.90000000,-4.50070300,22.48001000,350.00030000,1,0,0,0,
	0.25051730,-4.95220500,1.90000000,-4.39474600,22.72001000,349.92030000,1,0,0,0,
	0.25599630,-4.95220500,1.90000000,-4.39474600,22.96000000,349.76030000,1,0,0,0,
	0.26091450,-4.95220500,1.90000000,-4.39474600,23.12000000,349.68030000,1,0,0,0,
	0.26613240,-4.96998700,1.90000000,-4.28200900,23.28000000,349.60030000,1,0,0,0,
	0.27112280,-4.96998700,1.90000000,-4.28200900,23.44000000,349.52030000,1,0,0,0,
	0.27552690,-4.96998700,1.90000000,-4.28200900,23.60000000,349.44030000,1,0,0,0,
	0.28185640,-4.96998700,1.90000000,-4.28200900,23.76001000,349.36040000,1,0,0,0,
	0.28696020,-4.98969700,1.90000000,-4.16110600,23.92001000,349.28040000,1,0,0,0,
	0.29294770,-4.98969700,1.90000000,-4.16110600,24.00001000,349.28040000,1,0,0,0,
	0.29920140,-4.98969700,1.90000000,-4.16110600,24.16000000,349.12040000,1,0,0,0,
	0.30379060,-4.98969700,1.90000000,-4.16110600,24.32001000,349.04040000,1,0,0,0,
	0.31013210,-5.01146400,1.90000000,-4.03165800,24.40000000,349.04040000,1,0,0,0,
	0.31713540,-5.01146400,1.90000000,-4.03165800,24.56001000,348.88040000,1,0,0,0,
	0.32242720,-5.01146400,1.90000000,-4.03165800,24.72001000,348.80040000,1,0,0,0,
	0.32841920,-5.03502900,1.90000000,-3.89496200,24.80000000,348.72040000,1,0,0,0,
	0.33366830,-5.03502900,1.90000000,-3.89496200,24.96000000,348.64040000,1,0,0,0,
	0.33866740,-5.03502900,1.90000000,-3.89496200,25.04000000,348.64040000,1,0,0,0,
	0.34371450,-5.03502900,1.90000000,-3.89496200,25.12000000,348.56040000,1,0,0,0,
	0.34909510,-5.06066600,1.90000000,-3.74999100,25.20000000,348.56040000,1,0,0,0,
	0.35411880,-5.06066600,1.90000000,-3.74999100,25.28000000,348.48040000,1,0,0,0,
	0.36021410,-5.06066600,1.90000000,-3.74999100,25.36001000,348.48040000,1,0,0,0,
	0.36405010,-5.06066600,1.90000000,-3.74999100,25.52000000,348.40050000,1,0,0,0,
	0.36879770,-5.08802400,1.90000000,-3.59839600,25.52000000,348.40050000,1,0,0,0,
	0.37371650,-5.08802400,1.90000000,-3.59839600,25.60001000,348.40040000,1,0,0,0,
	0.37869640,-5.08802400,1.90000000,-3.59839600,25.68001000,348.32050000,1,0,0,0,
	0.38226500,-5.08802400,1.90000000,-3.59839600,25.76000000,348.32050000,1,0,0,0,
	0.38637130,-5.11568500,1.90000000,-3.44685800,25.76000000,348.32050000,1,0,0,0,
	0.39170690,-5.11568500,1.90000000,-3.44685800,25.84000000,348.24050000,1,0,0,0,
	0.39513850,-5.11568500,1.90000000,-3.44685800,25.92000000,348.24050000,1,0,0,0,
	0.40013940,-5.11568500,1.90000000,-3.44685800,25.92000000,348.24050000,1,0,0,0,
	0.40517620,-5.14364600,1.90000000,-3.29537200,26.00000000,348.16050000,1,0,0,0,
