map
	ez_square2
end

values
	0.01077140,-6.92762000,1.90000000,-3.46592300,13.28000000,358.80000000,1,0,0,0,
	0.01787580,-6.92762000,1.90000000,-3.46592300,13.68000000,358.72000000,1,0,0,0,
	0.02315860,-6.92794800,1.90000000,-3.45123600,13.92000000,358.72000000,1,0,0,0,
	0.02869300,-6.92794800,1.90000000,-3.45123600,14.08000000,358.72000000,1,0,0,0,
	0.03320790,-6.92794800,1.90000000,-3.45123600,14.16000000,358.72000000,1,0,0,0,
	0.03875600,-6.92842000,1.90000000,-3.43041900,14.32000000,358.64000000,1,0,0,0,
	0.04569140,-6.92842000,1.90000000,-3.43041900,14.48000000,358.64000000,1,0,0,0,
	0.05336170,-6.92842000,1.90000000,-3.43041900,14.88000000,358.56000000,1,0,0,0,
	0.06142410,-6.92912600,1.90000000,-3.40154300,15.20000000,358.48010000,1,0,0,0,
	0.06678230,-6.92912600,1.90000000,-3.40154300,15.52000000,358.48010000,1,0,0,0,
	0.07139549,-6.92912600,1.90000000,-3.40154300,15.76000000,358.40010000,1,0,0,0,
	0.07723720,-6.92912600,1.90000000,-3.40154300,15.92000000,358.40010000,1,0,0,0,
	0.08115580,-6.93013300,1.90000000,-3.36312100,16.16000000,358.40010000,1,0,0,0,
	0.08679190,-6.93013300,1.90000000,-3.36312100,16.32000000,358.32010000,1,0,0,0,
	0.09166650,-6.93013300,1.90000000,-3.36312100,16.56000000,358.32010000,1,0,0,0,
	0.09688150,-6.93013300,1.90000000,-3.36312100,16.72000000,358.32010000,1,0,0,0,
	0.10136870,-6.93141400,1.90000000,-3.31684600,16.96000000,358.24010000,1,0,0,0,
	0.10749160,-6.93141400,1.90000000,-3.31684600,17.12000000,358.24010000,1,0,0,0,
	0.11198900,-6.93141400,1.90000000,-3.31684600,17.36000000,358.16010000,1,0,0,0,
	0.11647770,-6.93141400,1.90000000,-3.31684600,17.52000000,358.16010000,1,0,0,0,
	0.12184110,-6.93299200,1.90000000,-3.26273900,17.68000000,358.16010000,1,0,0,0,
	0.12720470,-6.93299200,1.90000000,-3.26273900,17.92000000,358.08010000,1,0,0,0,
	0.13194450,-6.93299200,1.90000000,-3.26273900,18.08000000,358.08010000,1,0,0,0,
	0.13692500,-6.93299200,1.90000000,-3.26273900,18.24000000,358.00020000,1,0,0,0,
	0.14242910,-6.93491300,1.90000000,-3.20045900,18.40000000,358.00020000,1,0,0,0,
	0.14823940,-6.93491300,1.90000000,-3.20045900,18.56000000,357.92020000,1,0,0,0,
	0.15398690,-6.93491300,1.90000000,-3.20045900,18.72000000,357.92020000,1,0,0,0,
	0.15842200,-6.93715000,1.90000000,-3.13136100,18.88000000,357.84020000,1,0,0,0,
	0.16367310,-6.93715000,1.90000000,-3.13136100,18.96000000,357.84020000,1,0,0,0,
	0.16859460,-6.93715000,1.90000000,-3.13136100,19.12000000,357.76020000,1,0,0,0,
	0.17453060,-6.93715000,1.90000000,-3.13136100,19.20000000,357.76020000,1,0,0,0,
	0.18149350,-6.93978700,1.90000000,-3.05405500,19.36000000,357.76020000,1,0,0,0,
	0.18685120,-6.93978700,1.90000000,-3.05405500,19.52000000,357.68020000,1,0,0,0,
	0.19231810,-6.93978700,1.90000000,-3.05405500,19.60000000,357.68020000,1,0,0,0,
	0.19783560,-6.93978700,1.90000000,-3.05405500,19.76000000,357.60020000,1,0,0,0,
	0.20414910,-6.94291200,1.90000000,-2.96743900,19.84000000,357.60020000,1,0,0,0,
	0.20948150,-6.94291200,1.90000000,-2.96743900,20.00000000,357.52020000,1,0,0,0,
	0.21386350,-6.94291200,1.90000000,-2.96743900,20.08000000,357.52020000,1,0,0,0,
	0.21901420,-6.94639600,1.90000000,-2.87442100,20.24000000,357.44020000,1,0,0,0,
	0.22613270,-6.94639600,1.90000000,-2.87442100,20.31999000,357.44020000,1,0,0,0,
	0.23104780,-6.94639600,1.90000000,-2.87442100,20.48000000,357.36030000,1,0,0,0,
	0.23472180,-6.94639600,1.90000000,-2.87442100,20.56000000,357.36030000,1,0,0,0,
	0.24192420,-6.95037800,1.90000000,-2.77307300,20.64000000,357.28030000,1,0,0,0,
	0.24701290,-6.95037800,1.90000000,-2.77307300,20.80000000,357.20030000,1,0,0,0,
	0.25143360,-6.95037800,1.90000000,-2.77307300,20.88000000,357.20030000,1,0,0,0,
	0.25569080,-6.95037800,1.90000000,-2.77307300,20.96000000,357.12030000,1,0,0,0,
	0.26045820,-6.95491300,1.90000000,-2.66335400,21.12000000,357.12030000,1,0,0,0,
	0.26531960,-6.95491300,1.90000000,-2.66335400,21.20000000,357.04030000,1,0,0,0,
	0.26946120,-6.95491300,1.90000000,-2.66335400,21.28000000,357.04030000,1,0,0,0,
	0.27445560,-6.95491300,1.90000000,-2.66335400,21.35999000,356.96030000,1,0,0,0,
	0.27989250,-6.95997600,1.90000000,-2.54614500,21.43999000,356.96030000,1,0,0,0,
	0.28524610,-6.95997600,1.90000000,-2.54614500,21.51999000,356.88030000,1,0,0,0,
	0.29075890,-6.95997600,1.90000000,-2.54614500,21.59999000,356.80040000,1,0,0,0,
	0.29635310,-6.95997600,1.90000000,-2.54614500,21.75999000,356.72040000,1,0,0,0,
	0.30132220,-6.96572500,1.90000000,-2.42020200,21.84000000,356.64040000,1,0,0,0,
	0.30975140,-6.96572500,1.90000000,-2.42020200,21.92000000,356.64040000,1,0,0,0,
	0.31424140,-6.96572500,1.90000000,-2.42020200,21.99999000,356.56040000,1,0,0,0,
	0.31927260,-6.97207500,1.90000000,-2.28712500,22.07999000,356.48040000,1,0,0,0,
	0.32556790,-6.97207500,1.90000000,-2.28712500,22.15999000,356.40040000,1,0,0,0,
	0.33036130,-6.97207500,1.90000000,-2.28712500,22.24000000,356.32040000,1,0,0,0,
	0.33493970,-6.97207500,1.90000000,-2.28712500,22.31999000,356.32040000,1,0,0,0,
	0.33951060,-6.97918200,1.90000000,-2.14579800,22.40000000,356.24040000,1,0,0,0,
	0.34451000,-6.97918200,1.90000000,-2.14579800,22.47999000,356.16050000,1,0,0,0,
	0.34985980,-6.97918200,1.90000000,-2.14579800,22.56000000,356.08050000,1,0,0,0,
	0.35447100,-6.97918200,1.90000000,-2.14579800,22.63999000,356.00050000,1,0,0,0,
	0.35925010,-6.98707200,1.90000000,-1.99669300,22.72000000,355.92050000,1,0,0,0,
	0.36501850,-6.98707200,1.90000000,-1.99669300,22.80000000,355.84050000,1,0,0,0,
	0.37310840,-6.98707200,1.90000000,-1.99669300,22.87999000,355.76050000,1,0,0,0,
	0.37910490,-6.99558500,1.90000000,-1.84289300,23.03999000,355.60050000,1,0,0,0,
