map
	ez_square2
end

values
	0.00568690,-4.83252000,1.90000000,-4.98014400,17.20001000,355.36000000,0,0,0,0,
	0.01370110,-4.83252000,1.90000000,-4.98014400,17.36001000,355.36000000,0,0,0,0,
	0.01863350,-4.83252000,1.90000000,-4.98014400,17.52001000,355.36000000,0,0,0,0,
	0.02326380,-4.83252000,1.90000000,-4.98014400,17.60001000,355.36000000,0,0,0,0,
	0.02803670,-4.83252000,1.90000000,-4.98014400,17.68001000,355.36000000,0,0,0,0,
	0.03859810,-4.83252000,1.90000000,-4.98014400,17.68001000,355.36000000,1,0,0,0,
	0.05019240,-4.83345900,1.90000000,-4.96856500,17.84001000,355.36000000,1,0,0,0,
	0.05543970,-4.83345900,1.90000000,-4.96856500,18.08001000,355.36000000,1,0,0,0,
	0.05921030,-4.83345900,1.90000000,-4.96856500,18.16001000,355.36000000,1,0,0,0,
	0.06555320,-4.83506600,1.90000000,-4.94876700,18.16001000,355.36000000,1,0,0,0,
	0.07012700,-4.83506600,1.90000000,-4.94876700,18.32001000,355.36000000,1,0,0,0,
	0.07449130,-4.83506600,1.90000000,-4.94876700,18.32001000,355.36000000,1,0,0,0,
	0.08035760,-4.83716800,1.90000000,-4.92287700,18.40001000,355.36000000,1,0,0,0,
	0.08565839,-4.83716800,1.90000000,-4.92287700,18.48001000,355.36000000,1,0,0,0,
	0.09021819,-4.83716800,1.90000000,-4.92287700,18.56001000,355.36000000,1,0,0,0,
	0.09487750,-4.83716800,1.90000000,-4.92287700,18.64001000,355.36000000,1,0,0,0,
	0.10059370,-4.83992900,1.90000000,-4.88886000,18.72001000,355.36000000,1,0,0,0,
	0.10721200,-4.83992900,1.90000000,-4.88886000,18.80001000,355.36000000,1,0,0,0,
	0.11231800,-4.83992900,1.90000000,-4.88886000,18.88001000,355.28000000,1,0,0,0,
	0.11748310,-4.83992900,1.90000000,-4.88886000,18.96001000,355.28000000,1,0,0,0,
	0.12278740,-4.84345200,1.90000000,-4.84583200,19.04001000,355.20000000,1,0,0,0,
	0.13006710,-4.84345200,1.90000000,-4.84583200,19.12001000,355.20000000,1,0,0,0,
	0.13470660,-4.84345200,1.90000000,-4.84583200,19.28001000,355.12000000,1,0,0,0,
	0.13954020,-4.84759200,1.90000000,-4.79594300,19.36001000,355.12000000,1,0,0,0,
	0.14465090,-4.84759200,1.90000000,-4.79594300,19.44001000,355.12000000,1,0,0,0,
	0.15103030,-4.84759200,1.90000000,-4.79594300,19.52001000,355.04000000,1,0,0,0,
	0.15473960,-4.84759200,1.90000000,-4.79594300,19.68001000,354.96000000,1,0,0,0,
	0.16049080,-4.85247900,1.90000000,-4.73807500,19.68001000,354.96000000,1,0,0,0,
	0.16552070,-4.85247900,1.90000000,-4.73807500,19.84001000,354.88000000,1,0,0,0,
	0.17019320,-4.85247900,1.90000000,-4.73807500,19.92001000,354.88000000,1,0,0,0,
	0.17495900,-4.85247900,1.90000000,-4.73807500,20.00001000,354.80000000,1,0,0,0,
	0.17947150,-4.85816400,1.90000000,-4.67215800,20.08001000,354.80000000,1,0,0,0,
	0.18544170,-4.85816400,1.90000000,-4.67215800,20.24001000,354.72010000,1,0,0,0,
	0.19065370,-4.85816400,1.90000000,-4.67215800,20.32001000,354.64000000,1,0,0,0,
	0.19610140,-4.85816400,1.90000000,-4.67215800,20.48001000,354.64000000,1,0,0,0,
	0.20220340,-4.86473900,1.90000000,-4.59783100,20.56001000,354.56010000,1,0,0,0,
	0.20724640,-4.86473900,1.90000000,-4.59783100,20.72001000,354.48010000,1,0,0,0,
	0.21289120,-4.86473900,1.90000000,-4.59783100,20.80001000,354.48010000,1,0,0,0,
	0.22012360,-4.87205700,1.90000000,-4.51682800,20.96001000,354.40010000,1,0,0,0,
	0.22523340,-4.87205700,1.90000000,-4.51682800,21.12001000,354.32010000,1,0,0,0,
	0.22987850,-4.87205700,1.90000000,-4.51682800,21.28001000,354.24010000,1,0,0,0,
	0.23591480,-4.87205700,1.90000000,-4.51682800,21.36001000,354.16020000,1,0,0,0,
	0.24042910,-4.88046400,1.90000000,-4.42667700,21.52001000,354.08020000,1,0,0,0,
	0.24565660,-4.88046400,1.90000000,-4.42667700,21.60001000,354.08020000,1,0,0,0,
	0.24987370,-4.88046400,1.90000000,-4.42667700,21.76001000,354.00020000,1,0,0,0,
	0.25505750,-4.88046400,1.90000000,-4.42667700,21.84001000,353.92020000,1,0,0,0,
	0.26116870,-4.88983100,1.90000000,-4.32892800,22.00001000,353.84020000,1,0,0,0,
	0.26619760,-4.88983100,1.90000000,-4.32892800,22.16001000,353.76020000,1,0,0,0,
	0.27165220,-4.88983100,1.90000000,-4.32892800,22.24001000,353.76020000,1,0,0,0,
	0.27636500,-4.88983100,1.90000000,-4.32892800,22.40001000,353.68020000,1,0,0,0,
	0.28469990,-4.90032900,1.90000000,-4.22272700,22.56001000,353.60030000,1,0,0,0,
	0.29042120,-4.90032900,1.90000000,-4.22272700,22.72001000,353.44020000,1,0,0,0,
	0.29942990,-4.91162900,1.90000000,-4.11095800,22.96001000,353.36030000,1,0,0,0,
	0.30453980,-4.91162900,1.90000000,-4.11095800,23.20001000,353.20030000,1,0,0,0,
	0.30952060,-4.91162900,1.90000000,-4.11095800,23.36001000,353.12030000,1,0,0,0,
	0.31511650,-4.91162900,1.90000000,-4.11095800,23.52000000,353.04030000,1,0,0,0,
	0.31970180,-4.92442800,1.90000000,-3.98941700,23.68001000,352.96030000,1,0,0,0,
	0.32459690,-4.92442800,1.90000000,-3.98941700,23.84001000,352.88030000,1,0,0,0,
	0.33054400,-4.92442800,1.90000000,-3.98941700,24.00001000,352.80030000,1,0,0,0,
	0.33676450,-4.92442800,1.90000000,-3.98941700,24.24001000,352.72030000,1,0,0,0,
	0.34206070,-4.93863500,1.90000000,-3.85932400,24.40001000,352.56030000,1,0,0,0,
	0.34716810,-4.93863500,1.90000000,-3.85932400,24.64001000,352.48030000,1,0,0,0,
	0.35255830,-4.93863500,1.90000000,-3.85932400,24.80001000,352.32030000,1,0,0,0,
	0.35828590,-4.93863500,1.90000000,-3.85932400,24.96001000,352.24030000,1,0,0,0,
	0.36326170,-4.95436400,1.90000000,-3.72074400,25.12001000,352.08040000,1,0,0,0,
	0.37731460,-4.95436400,1.90000000,-3.72074400,25.28001000,352.00040000,1,0,0,0,
	0.38579440,-4.97155900,1.90000000,-3.57468000,25.68001000,351.76040000,1,0,0,0,
	0.39155490,-4.97155900,1.90000000,-3.57468000,25.92000000,351.60040000,1,0,0,0,
	0.39649830,-4.97155900,1.90000000,-3.57468000,26.08000000,351.52040000,1,0,0,0,
