map
	ez_square2
end

values
	0.00563570,-4.03495200,1.90000000,-6.03834200,16.40001000,352.39970000,1,0,0,0,
	0.01097390,-4.03495200,1.90000000,-6.03834200,16.48001000,352.39970000,1,0,0,0,
	0.01571310,-4.03495200,1.90000000,-6.03834200,16.56001000,352.39970000,1,0,0,0,
	0.02068080,-4.03495200,1.90000000,-6.03834200,16.64001000,352.39970000,1,0,0,0,
	0.02417690,-4.03495200,1.90000000,-6.03834200,16.72001000,352.39970000,1,0,0,0,
	0.02910980,-4.03840100,1.90000000,-6.01251900,16.72001000,352.39970000,1,0,0,0,
	0.03448780,-4.03840100,1.90000000,-6.01251900,16.80001000,352.39970000,1,0,0,0,
	0.03786790,-4.03840100,1.90000000,-6.01251900,16.88001000,352.39970000,1,0,0,0,
	0.04282920,-4.03840100,1.90000000,-6.01251900,16.88001000,352.39970000,1,0,0,0,
	0.04793970,-4.04283600,1.90000000,-5.97930000,16.96001000,352.39970000,1,0,0,0,
	0.05351810,-4.04283600,1.90000000,-5.97930000,17.04001000,352.39970000,1,0,0,0,
	0.05843090,-4.04283600,1.90000000,-5.97930000,17.12001000,352.39970000,1,0,0,0,
	0.06344580,-4.04283600,1.90000000,-5.97930000,17.20001000,352.39970000,1,0,0,0,
	0.07046880,-4.04836000,1.90000000,-5.93790800,17.28001000,352.39970000,1,0,0,0,
	0.07550340,-4.04836000,1.90000000,-5.93790800,17.36001000,352.47970000,1,0,0,0,
	0.07986860,-4.04836000,1.90000000,-5.93790800,17.44001000,352.47970000,1,0,0,0,
	0.08470820,-4.05473000,1.90000000,-5.89000000,17.60001000,352.47970000,1,0,0,0,
	0.09096510,-4.05473000,1.90000000,-5.89000000,17.68001000,352.47970000,1,0,0,0,
	0.09604210,-4.05473000,1.90000000,-5.89000000,17.76001000,352.55970000,1,0,0,0,
	0.10062610,-4.05473000,1.90000000,-5.89000000,17.84001000,352.55970000,1,0,0,0,
	0.10709320,-4.06215300,1.90000000,-5.83385700,18.00001000,352.55970000,1,0,0,0,
	0.11368170,-4.06215300,1.90000000,-5.83385700,18.16001000,352.55970000,1,0,0,0,
	0.11943520,-4.06215300,1.90000000,-5.83385700,18.32001000,352.63960000,1,0,0,0,
	0.12542200,-4.07051400,1.90000000,-5.77024800,18.48001000,352.63960000,1,0,0,0,
	0.13094250,-4.07051400,1.90000000,-5.77024800,18.64001000,352.63960000,1,0,0,0,
	0.13634220,-4.07051400,1.90000000,-5.77024800,18.80001000,352.71960000,1,0,0,0,
	0.14189910,-4.07051400,1.90000000,-5.77024800,18.96001000,352.71960000,1,0,0,0,
	0.14735850,-4.07997100,1.90000000,-5.69772100,19.12001000,352.71960000,1,0,0,0,
	0.15321160,-4.07997100,1.90000000,-5.69772100,19.28001000,352.71960000,1,0,0,0,
	0.15769340,-4.07997100,1.90000000,-5.69772100,19.44001000,352.71960000,1,0,0,0,
	0.16335250,-4.07997100,1.90000000,-5.69772100,19.60001000,352.71960000,1,0,0,0,
	0.16978160,-4.09048200,1.90000000,-5.61667700,19.76001000,352.71960000,1,0,0,0,
	0.17583210,-4.09048200,1.90000000,-5.61667700,20.00001000,352.63960000,1,0,0,0,
	0.18102570,-4.09048200,1.90000000,-5.61667700,20.16001000,352.63960000,1,0,0,0,
	0.18600240,-4.10190000,1.90000000,-5.52862300,20.32001000,352.55970000,1,0,0,0,
	0.19092390,-4.10190000,1.90000000,-5.52862300,20.48001000,352.55970000,1,0,0,0,
	0.19774650,-4.10190000,1.90000000,-5.52862300,20.64001000,352.47970000,1,0,0,0,
	0.20261620,-4.10190000,1.90000000,-5.52862300,20.88001000,352.39970000,1,0,0,0,
	0.20763360,-4.11449100,1.90000000,-5.43201200,20.96001000,352.39970000,1,0,0,0,
	0.21459270,-4.11449100,1.90000000,-5.43201200,21.12001000,352.31970000,1,0,0,0,
	0.21915020,-4.11449100,1.90000000,-5.43201200,21.28001000,352.23970000,1,0,0,0,
	0.22319850,-4.11449100,1.90000000,-5.43201200,21.36001000,352.23970000,1,0,0,0,
	0.23014400,-4.12827000,1.90000000,-5.32725300,21.44001000,352.15970000,1,0,0,0,
	0.23518020,-4.12827000,1.90000000,-5.32725300,21.68001000,352.07970000,1,0,0,0,
	0.23978320,-4.12827000,1.90000000,-5.32725300,21.76001000,351.99980000,1,0,0,0,
	0.24541130,-4.14305800,1.90000000,-5.21593800,21.84001000,351.99980000,1,0,0,0,
	0.25104950,-4.14305800,1.90000000,-5.21593800,22.00001000,351.91980000,1,0,0,0,
	0.25556160,-4.14305800,1.90000000,-5.21593800,22.08001000,351.83980000,1,0,0,0,
	0.26029950,-4.14305800,1.90000000,-5.21593800,22.16001000,351.75980000,1,0,0,0,
	0.26627500,-4.15916100,1.90000000,-5.09651900,22.24001000,351.67980000,1,0,0,0,
	0.27219640,-4.15916100,1.90000000,-5.09651900,22.40001000,351.59980000,1,0,0,0,
	0.27667240,-4.15916100,1.90000000,-5.09651900,22.48001000,351.51980000,1,0,0,0,
	0.28092630,-4.15916100,1.90000000,-5.09651900,22.56000000,351.51980000,1,0,0,0,
	0.28559200,-4.17666600,1.90000000,-4.96896700,22.64001000,351.43980000,1,0,0,0,
	0.29082630,-4.17666600,1.90000000,-4.96896700,22.72001000,351.35990000,1,0,0,0,
	0.29555140,-4.17666600,1.90000000,-4.96896700,22.80001000,351.27990000,1,0,0,0,
	0.30018680,-4.17666600,1.90000000,-4.96896700,22.88001000,351.19990000,1,0,0,0,
	0.30661370,-4.19555100,1.90000000,-4.83383000,22.96001000,351.11990000,1,0,0,0,
	0.31181990,-4.19555100,1.90000000,-4.83383000,23.12000000,351.03990000,1,0,0,0,
	0.31633720,-4.19555100,1.90000000,-4.83383000,23.20000000,350.95990000,1,0,0,0,
	0.32199440,-4.19555100,1.90000000,-4.83383000,23.28001000,350.87990000,1,0,0,0,
	0.32848110,-4.21609000,1.90000000,-4.69012200,23.36001000,350.80000000,1,0,0,0,
	0.33689530,-4.21609000,1.90000000,-4.69012200,23.52000000,350.72000000,1,0,0,0,
	0.34193140,-4.21609000,1.90000000,-4.69012200,23.68000000,350.55990000,1,0,0,0,
	0.34705850,-4.23822600,1.90000000,-4.53859100,23.76001000,350.48000000,1,0,0,0,
	0.35250740,-4.23822600,1.90000000,-4.53859100,23.84000000,350.40000000,1,0,0,0,
	0.35752390,-4.23822600,1.90000000,-4.53859100,24.00001000,350.32000000,1,0,0,0,
	0.36702190,-4.26076400,1.90000000,-4.38620600,24.08001000,350.24000000,1,0,0,0,
	0.37177120,-4.26076400,1.90000000,-4.38620600,24.32000000,350.08000000,1,0,0,0,
