map
	ez_square2
end

values
	0.00711070,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.01420470,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.02199650,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.02962670,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.03530610,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.03996880,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.04353960,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.04822030,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.05206150,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.05609370,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.06038950,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.06428580,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.06883160,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.07246280,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.07690450,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.08142850,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.08529450,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.08954170,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.09311950,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.09718750,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.10605030,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.11552450,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.11853040,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.12293570,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.12594140,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.13012710,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.13324150,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.13755250,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.14057420,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.14515450,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.14792690,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.15211060,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.15640870,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.15983040,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.16429260,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.16745930,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.17259790,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.17602790,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.18014060,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.18413460,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.18817300,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.19240970,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.19524900,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.19920370,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.20302700,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.20768330,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.21116610,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.21611700,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.22172970,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.22557420,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.22913700,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.23271310,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.23650990,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.24006750,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.24486150,2.95125000,1.90000000,-3.42896100,10.32000000,20.71998000,0,0,0,0,
	0.25027610,2.95125000,1.90000000,-3.42896100,10.32000000,20.79998000,0,0,0,0,
	0.25570450,2.95125000,1.90000000,-3.42896100,10.32000000,20.87998000,0,0,0,0,
	0.26025240,2.95125000,1.90000000,-3.42896100,10.32000000,20.95998000,0,0,0,0,
	0.26531150,2.95125000,1.90000000,-3.42896100,10.32000000,21.03998000,0,0,0,0,
	0.27062950,2.95125000,1.90000000,-3.42896100,10.32000000,21.19998000,0,0,0,0,
	0.27767810,2.95125000,1.90000000,-3.42896100,10.40000000,21.27998000,0,0,0,0,
	0.28362000,2.95125000,1.90000000,-3.42896100,10.48000000,21.43998000,0,0,0,0,
	0.28863320,2.95125000,1.90000000,-3.42896100,10.56000000,21.51998000,0,0,0,0,
	0.29229030,2.95125000,1.90000000,-3.42896100,10.64000000,21.51998000,0,0,0,0,
	0.29673490,2.95125000,1.90000000,-3.42896100,10.64000000,21.51998000,0,0,0,0,
	0.30000670,2.95125000,1.90000000,-3.42896100,10.64000000,21.51998000,0,0,0,0,
	0.30483180,2.95125000,1.90000000,-3.42896100,10.64000000,21.51998000,0,0,0,0,
	0.30768370,2.95125000,1.90000000,-3.42896100,10.64000000,21.51998000,0,0,0,0,
	0.31192970,2.95125000,1.90000000,-3.42896100,10.64000000,21.51998000,0,0,0,0,
	0.31476860,2.95125000,1.90000000,-3.42896100,10.64000000,21.51998000,0,0,0,0,
	0.31894330,2.95125000,1.90000000,-3.42896100,10.64000000,21.51998000,0,0,0,0,
