map
	ez_square2
end

values
	0.00494570,3.15595700,1.90000000,-4.13281100,19.36000000,13.27999000,0,0,0,0,
	0.01133400,3.15595700,1.90000000,-4.13281100,19.36000000,13.27999000,0,0,0,0,
	0.01548520,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.01873440,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.02250340,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.02565090,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.02998880,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.03302860,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.03725690,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.03993280,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.04407710,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.04707680,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.05162590,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.05460520,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.05889660,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.06284200,3.15595700,1.90000000,-4.13281100,19.43999000,13.19999000,0,0,0,0,
	0.06731421,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.07168281,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.07457271,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.07896021,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.08242461,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.08653241,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.08970682,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.09384452,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.09745312,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.10132570,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.10467120,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.10902820,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.11318670,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.11613860,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.12055540,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.12402800,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.12881280,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.13308340,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.13665690,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.14039420,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.14458690,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.14970530,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.15264180,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.15714910,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.16080340,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.16435430,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.16746920,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.17144270,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.17541380,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.17864970,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.18277800,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.18570890,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.19038220,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.19332970,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.19730280,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.20022550,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.20462680,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.20795660,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.21216800,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.21524060,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.21955330,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.22269390,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.22662400,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.23066590,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.23412700,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.23925310,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.24244600,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.24705650,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.25209220,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.25599200,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.26009070,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.26310010,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.26716740,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.27039720,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
	0.27460240,3.15595700,1.90000000,-4.13281100,19.51999000,13.19999000,0,0,0,0,
