map
	ez_square2
end

values
	0.00452960,2.40527500,1.90000000,-4.58125700,8.79999600,14.64000000,0,0,0,0,
	0.01019700,2.40527500,1.90000000,-4.58125700,8.79999600,14.64000000,0,0,0,0,
	0.01414390,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.01761760,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.02228840,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.02574450,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.03044910,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.03348890,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.03771450,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.04151090,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.04629650,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.05112800,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.05474390,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.05955970,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.06423090,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.06754640,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.07202461,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.07493410,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.07909121,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.08230621,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.08715910,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,0,0,0,0,
	0.09476271,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,1,0,0,0,
	0.10074270,2.40527500,1.90000000,-4.58125700,8.87999600,14.64000000,1,0,0,0,
	0.10603790,2.40799300,1.90000000,-4.57085000,8.87999600,14.64000000,1,0,0,0,
	0.11046750,2.40799300,1.90000000,-4.57085000,8.87999600,14.64000000,1,0,0,0,
	0.11457890,2.40799300,1.90000000,-4.57085000,8.87999600,14.64000000,1,0,0,0,
	0.11993750,2.40799300,1.90000000,-4.57085000,8.87999600,14.64000000,1,0,0,0,
	0.12472650,2.41265200,1.90000000,-4.55301400,8.95999400,14.64000000,1,0,0,0,
	0.12892400,2.41265200,1.90000000,-4.55301400,9.03999700,14.64000000,1,0,0,0,
	0.13428260,2.41265200,1.90000000,-4.55301400,9.03999700,14.64000000,1,0,0,0,
	0.13923260,2.41265200,1.90000000,-4.55301400,9.11999500,14.64000000,1,0,0,0,
	0.14494780,2.41926200,1.90000000,-4.52771100,9.19999700,14.64000000,1,0,0,0,
	0.15128150,2.41926200,1.90000000,-4.52771100,9.27999700,14.64000000,1,0,0,0,
	0.15733940,2.41926200,1.90000000,-4.52771100,9.35999500,14.64000000,1,0,0,0,
	0.16318500,2.42770200,1.90000000,-4.49540100,9.51999500,14.64000000,1,0,0,0,
	0.16991770,2.42770200,1.90000000,-4.49540100,9.59999500,14.64000000,1,0,0,0,
	0.17552000,2.42770200,1.90000000,-4.49540100,9.75999500,14.64000000,1,0,0,0,
	0.18000330,2.42770200,1.90000000,-4.49540100,9.91999500,14.64000000,1,0,0,0,
	0.18499970,2.43843400,1.90000000,-4.45431900,10.07999000,14.64000000,1,0,0,0,
	0.19128840,2.43843400,1.90000000,-4.45431900,10.16000000,14.72000000,1,0,0,0,
	0.19717500,2.43843400,1.90000000,-4.45431900,10.39999000,14.72000000,1,0,0,0,
	0.20348550,2.45093400,1.90000000,-4.40660000,10.63999000,14.80000000,1,0,0,0,
	0.20871970,2.45093400,1.90000000,-4.40660000,10.79999000,14.80000000,1,0,0,0,
	0.21387450,2.45093400,1.90000000,-4.40660000,10.95999000,14.88000000,1,0,0,0,
	0.22035070,2.45093400,1.90000000,-4.40660000,11.19999000,14.96000000,1,0,0,0,
	0.22613330,2.46587900,1.90000000,-4.34993900,11.43999000,15.04000000,1,0,0,0,
	0.23257080,2.46587900,1.90000000,-4.34993900,11.59999000,15.04000000,1,0,0,0,
	0.23821500,2.46587900,1.90000000,-4.34993900,11.91999000,15.20000000,1,0,0,0,
	0.24515470,2.48277100,1.90000000,-4.28640200,12.15999000,15.28000000,1,0,0,0,
	0.25144070,2.48277100,1.90000000,-4.28640200,12.39999000,15.36000000,1,0,0,0,
	0.25589700,2.48277100,1.90000000,-4.28640200,12.71999000,15.52000000,1,0,0,0,
	0.26169890,2.48277100,1.90000000,-4.28640200,12.95999000,15.60000000,1,0,0,0,
	0.26781760,2.50233500,1.90000000,-4.21385700,13.19999000,15.68000000,1,0,0,0,
	0.27558310,2.50233500,1.90000000,-4.21385700,13.51999000,15.84000000,1,0,0,0,
	0.28261140,2.50233500,1.90000000,-4.21385700,13.91999000,16.08000000,1,0,0,0,
	0.28893240,2.52444400,1.90000000,-4.13333800,14.31999000,16.32000000,1,0,0,0,
	0.29704000,2.52444400,1.90000000,-4.13333800,14.63999000,16.48000000,1,0,0,0,
	0.30243520,2.52444400,1.90000000,-4.13333800,15.03999000,16.72000000,1,0,0,0,
	0.30823980,2.54911700,1.90000000,-4.04530700,15.35999000,16.88000000,1,0,0,0,
	0.31381820,2.54911700,1.90000000,-4.04530700,15.67999000,17.04000000,1,0,0,0,
	0.31844830,2.54911700,1.90000000,-4.04530700,15.91999000,17.20000000,1,0,0,0,
	0.32477830,2.57595400,1.90000000,-3.95123600,16.15999000,17.36000000,1,0,0,0,
	0.33298690,2.57595400,1.90000000,-3.95123600,16.47999000,17.52000000,1,0,0,0,
	0.34020690,2.57595400,1.90000000,-3.95123600,16.95999000,17.67999000,1,0,0,0,
	0.34656160,2.60585200,1.90000000,-3.84900000,17.27999000,17.84000000,1,0,0,0,
	0.35336340,2.60585200,1.90000000,-3.84900000,17.59999000,18.00000000,1,0,0,0,
	0.36332060,2.63763800,1.90000000,-3.74184000,17.91999000,18.08000000,1,0,0,0,
	0.37033580,2.63763800,1.90000000,-3.74184000,18.39999000,18.32000000,1,0,0,0,
	0.37609290,2.63763800,1.90000000,-3.74184000,18.79999000,18.48000000,1,0,0,0,
	0.38274040,2.63763800,1.90000000,-3.74184000,19.11999000,18.64000000,1,0,0,0,
	0.38857020,2.67377300,1.90000000,-3.62373400,19.43998000,18.72000000,1,0,0,0,
